A note that in 2009 the cows had broken into Swanton a few days before our sampling and ate a lot.  UCSC had a shorter break in earlier in the year. We only recorded hits for Sisyrhinchium. There were a lot of Lupines out so we recorded the number of seedlings for those in the four quadrats.  All sites were dominated by Erodium.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grass height,,,
SITE,FREQ,TREAT,REP,Comments,aircar,anaarv,anamin,avebar,bare,brach,brassp,brimaj,brimin,brocar,brodia,brohor,broter,calcil,camova,carex,carpyc,cartum,cerglo,chamisonia,cilmar,cirglo,cirarv,cirvul,conarv,conyza,cynech,dancal,dung,erobot,erocic,eromos,esccal,gerdis,hollan,horbra,hornur,hypgla,hyprad,junbuf,jun mex,junocc,junpat,junpha,linbie,lolmul,lolper,lupnan,lythys,madcap,madsat,medpol,naslep,naspul,phaaqu,plalan,poaann,rumace,rumpul,scikoi,shearv,sisbel,solses,sonasp,sonole,stenit,stemed,thatch,triang,tridub,trisub,trypus,verpur,vicia,vulpsp,Height 1,Height 2,Height 3,Height 4
elk,CLA,LL,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,26,,,,,,,,62,,,,,,,,,,,,,,,,,,1,,,,4,,,,,,,,,,,21,,,,30,19,18,17,16
elk,CLA,LL,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,42,,,,,,,,23,1,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,28,,,,75,21,28,13,33
elk,CLA,SD,1,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,13,,64,,,,,,,,17,,,,,,,,,,1,,,,,,,,4,,,,,,,,,,,,3,,,8,,,,30,15,9,15,8
elk,CLA,SD,2,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,27,,52,,,,,,,,42,9,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,14,,,,12,7,16,17,15
elk,CLA,SD,3,,,,,54,1,,,,,,,,,,1,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,56,23,35,29,52
elk,NM,LL,1,,,,,,1,,,,,,,,,,,,11,,,,,,,,,,,12,,15,,,,3,,,,,,,,,,,,1,,,,,,,,,,7,,8,,,,,,,,,,2,,,1,,,,82,29,26,27,34
elk,NM,LL,2,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,3,,51,,,,,,,,13,5,,,,,,,2,,,,,,,,,,15,,,,,,,,,,,,1,,,13,,,,56,37,28,38,30
elk,NM,LL,3,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,37,,17,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,14,,,,98,30,25,17,32
elk,NM,LL,4,,,,,,5,,,,,,2,,,,,,,,,,,,,,,,,41,,3,,,,,,,,,5,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,8,,,,78,24,26,26,25
elk,NM,LL,5,,,,,2,1,,,,,,3,,,,,,,,,,,,,,,,,27,,49,,,,1,,,,25,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,13,,,8,,,,7,17,22,17,60
elk,NM,LL,6,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,85,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,6,,,,30,26,31,21,25
elk,CLB,LL,1,,,,,,4,,,,,,1,,,,,,,,,,,,,,,,,13,,60,,,,3,,,,,1,,,,,16,,38,,,,,,,,,,1,,2,,,,,,,,,,6,,,,,,,1,18,16,26,30
elk,CLB,LL,2,,,,,1,1,,,,,,5,,,,,,,,,,,,,,,,,29,,9,,,,,,,,2,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,6,,,19,,,,58,37,27,20,22
elk,CLB,LL,3,,,,,4,,,,,,,4,,,,3,,1,,,,,,,,,,,47,,32,,,,1,,,,14,,,,,,,,,,,,,,,,,,5,,5,,,,,,,,,,6,,,7,,,1,11,30,34,14,20
elk,CLB,SD,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,14,,,,1,,,,2,3,,,,,,,,,,,,,,,,,10,,4,,,,,,,,,,,,,12,,,,85,35,30,29,32
elk,CLB,SD,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,14,,42,,,,1,,,,22,2,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,1,25,,,,62,12,18,11,14
elk,CLB,SD,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,16,,30,,,,,,,,37,,,,,,,,,,,,,,,,,,16,,,,6,,,,,,,,3,,,19,,,,27,16,25,18,26
elk,NM,SD,1,,,,,6,,,,,,,9,,,,,,,,,,,,,,,,1,20,,60,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,12,,,8,,,,10,40,39,36,51
elk,NM,SD,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,39,,15,,,,,,,,24,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,15,,,,63,25,26,19,20
elk,NM,SD,3,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,19,,38,,,,,,,,3,3,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,34,,,,46,35,23,23,19
elk,CONTROL,,1,,,,,,,,,,,,6,,,,,,26,,,,,,,,,,,,,10,,,,5,,,,,,,,,,,,7,,,,,,,,,,,,14,,,,,,,,,,19,,,,,,,35,26,28,30,29
elk,CONTROL,,2,,,,,,6,1,,,,,5,,,,,,18,,,,,,,,,,,2,,11,,,,3,,,,,,,,,,,,4,,,,,,,,,,,,10,,,,,,,,,,26,,,,,,,30,53,40,17,25
elk,CONTROL,,3,,,,,41,,,,,,,1,,,,,,59,,,,,,,,,,,,,13,,,,3,,,,,2,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,21,33,34,29
elk,GRAZED,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,34,,5,,,,,,,,,4,,,,,,,19,,,,,,,,,,3,,,,,,,,,,,,3,,1,10,,,,73,17,20,33,17
elk,GRAZED,,2,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,21,,12,,,,,,,,1,,,,,,,,4,,,,,,,,,,,,,,13,,,,,,,,2,,,31,,,,69,27,16,19,13
elk,GRAZED,,3,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,16,,18,,,,2,,,,9,3,,,,,,,52,,,,,,,,,,1,,7,,,,,,,,,,,,,12,,,,33,18,20,16,19
elk,GRAZED,,4,,,,,,,38,,6,,,,,,,,,,,,,,,,,,,,17,,20,,,,,,,,,,,,,,,,2,,,,,,,,,,4,,5,,,,,,,,,,,,,1,,,,66,,,,
elk,GRAZED,,5,,,,,,2,5,,18,,,2,,,,,,,,,,,,,,,,,9,,28,,,,,,,,2,1,,,,,,,11,,,,,,,,,1,18,,5,,,,,,,,,,,,,36,,,,15,,,,
elk,GRAZED,,6,,,,,,1,21,,,,,16,,,,,,,,,,,,,,,,,1,,59,,,,,,,,3,,,,,,,,14,,,,,,,,5,2,,,3,,,,,,,,,,4,,,2,,,,14,,,,
swa,CL1,LL,1,,,,,,9,,,,,,37,,,,,,,,,,,,,,,,,5,,,,14,,1,,,,,,,,,,,,8,,,,,,,,1,,25,,,,,,,,,,,,,,1,35,,,,26,27.94,22.86,17.78,17.78
swa,CL1,LL,2,,,,,5,,,,,,,8,,,,,,,,,,,,,,,,,,,4,,15,,3,,,,,,,,,,,,2,,,,,,,,,,36,,1,,,,,,,,,,,,4,38,,,,39,22.86,20.32,35.56,22.86
swa,CL1,LL,3,,,,,,3,,,,,,61,,,,,,,,,,,,,,,,,4,,2,,1,,3,,,,,,,,,,,,3,,,,,,,,,,32,,2,,,,,,,,,,1,,,28,,,,27,33.02,20.32,22.86,43.18
swa,CL1,SD,1,,,,,,2,,,,,12,21,,,,,,,,,,,,,,,,,11,,,,2,,,,,,,,,,,,,,18,,,,,,,,31,,25,,1,,,,,,,,,,,,1,33,,,,7,30.48,30.48,30.48,17.78
swa,CL1,SD,2,,,,,,2,,,,,14,4,,,,,,,,,,,,,,,,4,6,,6,,4,3,1,,,,,1,,,,,,,5,,,,,,,,26,,54,,11,,,4,3,,,,,,,,,29,,,,18,15.24,17.78,30.48,10.16
swa,CL1,SD,3,,,,,,28,,,,,,24,,,,,,,,,,,,,,,,1,2,,12,3,,,1,,,,,,,,,,,,1,,,,,,,,6,,12,,13,,,,1,,,,,,,1,,29,,,,10,20.32,12.7,15.24,20.32
swa,CLA,LL,1,,1,,,,1,1,,,,6,3,,,,,,,,,,,,,,,,,58,,1,,,,,,,,,2,,,,,,1,,,,,,,,,,,50,,4,,,1,,,,,,,,,3,15,,,,27,25.4,22.86,20.32,22.86
swa,CLA,LL,2,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,57,,2,,1,,,,,,,3,,,,,,,,,,,,,,,,,13,,6,,,3,,,,,,,,,,23,,,,39,30.48,27.94,20.32,33.02
swa,CLA,LL,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,11,85,,,,,,,,,,,1,,,,,,,1,,,,,,,,4,,24,,,,,,,,,,,,1,,1,5,,,,14,17.78,20.32,20.32,27.94
swa,CLA,SD,1,,,,,,,,,,,1,32,,,,,,,,,,,,,,,,,34,,,,4,,2,,,,,1,,,,,,,3,,,,,,,,41,,6,,3,,,,,,,,,,,,1,22,,,,57,50.8,38.1,43.18,43.18
swa,CLA,SD,2,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,42,,3,1,,,,,,,,1,,,,,,,,,,,,,,,32,,,,1,,,,,,,,,,2,,,41,,,,37,15.24,17.78,25.4,20.32
swa,CLA,SD,3,,,,,,,1,,,,7,41,,,,,,,,,,,,,,,,,2,,,,6,,3,,,,,,,,,,,,4,,,,,,,,31,,1,,3,,,6,3,,,,,,1,,1,61,,,,37,22.86,22.86,33.02,25.4
swa,CLB,LL,1,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,8,,23,,2,,,,,2,,,,,,,8,,,,,,,,,,15,,5,,,,,,,,,,,,,30,,,,42,43.18,22.86,45.72,48.26
swa,CLB,LL,2,,,,,,10,,,,,1,56,,,,,,,,,,,,,,,,,,,5,,,,2,,,,,,,,,,,,6,,,,,,,,,,4,,13,,,,,,,,,,,,,21,,,,49,30.48,27.94,25.4,20.32
swa,CLB,LL,3,,,1,,6,1,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,6,,,,,,,,,,17,,,,,,,8,20.32,25.4,20.32,20.32
swa,CLB,SD,1,,,1,,,3,,,,,,82,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,2,,,,,,,,,,13,,1,,,,,,,,,,,,,3,,,,31,27.94,40.64,40.64,43.18
swa,CLB,SD,2,,,,,,2,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,2,48.26,43.18,45.72,45.72
swa,CLB,SD,3,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,8,,,,,,,,,,10,,,,,,,,20.32,20.32,40.64,33.02
swa,CLC,LL,1,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,13,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,13,,14,,,1,,,,,,,65,,,,,,1,7,20.32,35.56,27.94,30.48
swa,CLC,LL,2,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,20,,9,,1,,1,,,,,1,,,,,,,,,,,,,,,,,19,,8,,,,,,,,,,,,,22,,,,17,20.32,25.4,20.32,17.78
swa,CLC,LL,3,,,,,6,3,,,,,,46,,,,,,,,,,,,,,,,,5,,21,2,9,1,1,,,,,,,,,,,,1,,,,,,,,,,,2,3,,,23,,,,,,,,,,44,,,,51,27.94,22.86,33.02,25.4
swa,NM,LL,1,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,7,,,3,1,,,,,3,,,,,,,7,,,,,,,,,,1,,8,,,,,,,,,,,,,15,,,,53,45.72,25.4,50.8,30.48
swa,NM,LL,2,,,,,,,,,,,21,1,,,,,,,,,,,,,,,,,58,,,,,1,,,,,,6,,,,,,,,,,,,,,,5,,7,,10,,,,,,,,,,5,,,7,,,,51,50.8,33.02,33.02,27.94
swa,NM,LL,3,,,,,,,,,,,,92,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,6,,,1,,,,1,40.64,30.48,45.72,30.48
swa,NM,LL,4,,,,,14,2,,,,,,63,,,,,,,,,,,,,,,,,1,,3,,2,,1,,,,,,,,,,,,1,,,,,,,,,,13,,1,,,,,,,,,,,,,3,,,,29,22.86,20.32,48.26,38.1
swa,NM,LL,5,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,54,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,28,,6,,,2,,,,,,,,,2,24,,,,12,17.78,20.32,22.86,40.64
swa,NM,LL,6,,,,,5,,,,,,,13,,,,,,,,,,,,,,,,,52,,8,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,2,,,,,,,,,,22,,,,60,15.24,17.78,20.32,22.86
swa,NM,SD,1,,,,,,,,,,,10,34,,,,,,,,,,,,,,,,,27,,21,,1,,,,,,,,,,,,,,,,,,,,,,1,,18,,3,,,,1,,,,,,3,,2,34,,,,26,40.64,33.02,25.4,30.48
swa,NM,SD,2,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,12,,2,,,,,,,,,,,,,,,,,,,,,,8,,3,,,,,,,,,,,,2,,,11,,,,3,20.32,12.7,20.32,22.86
swa,NM,SD,3,,,,,3,,,,,,,74,,,,,,,,,,,,,,,,,1,,12,,,,,,,,,,,,,,,,,,,,,,,,9,,,,2,,,,,,,,,,1,,,1,,,,35,20.32,25.4,25.4,25.4
swa,CONTROL,,1,,,,,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,6,,,,,,1,1,22.86,40.64,50.8,48.26
swa,CONTROL,,2,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,8,,,,,,,,20.32,30.48,38.1,40.64
swa,CONTROL,,3,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,7,,,,,,,,38.1,22.86,22.86,30.48
swa,GRAZED,,1,,,,,,1,,,,,6,5,,,,,,,,,,,,,,,,,7,,,,24,,,,10,,,1,,,,,,,17,,,,,,,,1,,16,,5,,,,,,,,,,,,4,57,,,,37,7.62,5.08,2.54,2.54
swa,GRAZED,,2,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,4,,33,,,,7,,,,,,,,,,20,,,,,,,,,,2,,7,,,,,,,,,,1,,,32,,,,50,5.08,2.54,10.16,5.08
swa,GRAZED,,3,,,,,,1,,,,,,19,,,,,,,,,,,,,,,,,,,1,8,31,,,,,,,1,,,,,,,27,,,,,,,,,,,,5,,,,,,,,,,,,,67,,,,37,7.62,2.54,5.08,2.54
swa,GRAZED,,4,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,1,,6,,,,,,,,,,,,,,5,,,,,,,,,,1,,3,,,,,,,,,,,,,76,,,,40,,,,
swa,GRAZED,,5,,,,,,2,,,,,12,3,,,,,,,,,,,,,,,,1,55,,1,4,6,,,,,,,6,,,,,,,2,,,,,,,,,,5,,2,,,,,,,,,,1,,1,52,,,,5,,,,
swa,GRAZED,,6,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,14,,39,2,,,,,,,,14,,,,,,,3,,1,,,,,,2,,5,,13,,,,,,,,,,,1,5,20,,,,4,,,,
ucsc,CL1,LL,1,,,,,,21,46,,,,,,,,,,,,,,,,,,,,,,,,15,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,
ucsc,CL1,LL,2,,,,,3,4,65,21,2,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,4,,,,
ucsc,CL1,LL,3,,,,,1,16,50,3,,,,,,,,,,,,,,,,,,,,,,,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,6,,,,,,,1,,,,
ucsc,CL1,SD,1,,,1,,,17,48,,,,,,,,,,,,,,,,,,,,,,,,20,1,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,18,,,,,,12,,,,,,,1,,,,
ucsc,CL1,SD,2,,,,,,16,51,21,,,,,,,,,,,,,,,,,,,,,,,14,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,4,,,,,,9,,,,,,,7,,,,
ucsc,CL1,SD,3,,,,,,25,47,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,20,,,,,,,,,,,
ucsc,CLA,LL,1,,,,,,20,43,,,,,2,,,,,,,,,,,,,,,,,3,,11,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,,,,,,,,,,23,,,,,,,,,,,
ucsc,CLA,LL,2,,,,,,4,68,14,,,,,,,,,,,,,,,,,,,,,,,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,11,,,,,,,1,,,,
ucsc,CLA,LL,3,,,,,,3,63,,,,,,,,,,,,,,,,,,,,,,,,64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,,,,
ucsc,CLA,SD,1,,,,,,8,44,3,,,,7,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,3,,,,,,,,7,,,,5,,,,5,,,,,,8,,,,,,,15,,,,
ucsc,CLA,SD,2,,,,,,16,36,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,22,,,,,,12,,,,,,,4,,,,
ucsc,CLA,SD,3,,,1,,,2,61,,,,,,,,,,,,,,,,,,,,,,,,40,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,4,,,,,,2,,,,,,,16,,,,
ucsc,CLB,LL,1,,,1,,,9,56,,,,,,,,,,,,,,,,,,,,,,,,29,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,15,,,,,,,6,,,,
ucsc,CLB,LL,2,,,,,,14,41,,,,,,,,,,,,,,,,,,,,,,,,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,1,,,,
ucsc,CLB,LL,3,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,12,,,,
ucsc,CLB,SD,1,,,,,,3,68,9,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,
ucsc,CLB,SD,2,,,,,,5,64,,,,,6,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,
ucsc,CLB,SD,3,,,,,,1,73,,,,1,3,,,,,,,,,,,,,,,,,,,61,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,6,,,,
ucsc,CLC,LL,1,,,,,,,75,16,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,
ucsc,CLC,LL,2,,,1,,18,11,61,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,1,,,,
ucsc,CLC,LL,3,,,1,,,12,62,4,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,
ucsc,CONTROL,,1,,,,,,3,72,,,,,5,,,,,,,,,,,,,,,,,,,13,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,,,,,,,,,,
ucsc,CONTROL,,2,,,,,1,,87,4,,,,11,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
ucsc,CONTROL,,3,,,,,2,1,58,,,,,5,,,,,,,,,,,,,,,,,,,46,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,2,,,,
ucsc,NM,LL,1,,,,,,10,65,4,,,,,,,,,,,,,,,,,,,,,,,26,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,13,,,,,,,3,,,,
ucsc,NM,LL,2,,,,,,8,66,16,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,
ucsc,NM,LL,3,,,3,,,8,67,,,,,1,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,1,,,,
ucsc,NM,LL,4,,,,,,2,65,12,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,1,,,,
ucsc,NM,LL,5,,,,,,11,66,9,,,,1,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,8,,,,,,,1,,,,
ucsc,NM,LL,6,,,,,1,2,76,17,,,,1,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
ucsc,NM,SD,1,,,,,,8,6,,,,,8,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,13,,,,,,22,,,,,,,1,,,,
ucsc,NM,SD,2,,,1,,,4,71,,,,,,,,,,,,,,,,,,,,,,,,35,2,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,17,,,,,,,,,,,,,1,,,,
ucsc,NM,SD,3,,,,,,14,33,6,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,20,,,,2,,,,50,,,,,,1,,,,,,,1,,,,
ucsc,GRAZED,,1,,,1,,,1,82,,,,,1,,,,,,,,,,,,,,,,,,,28,2,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,,4,,,,
ucsc,GRAZED,,2,,,1,,,38,37,1,,,,3,,,,,,,,,,,,,,,,,,,16,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,2,,,,
ucsc,GRAZED,,3,,,,,2,5,84,,,,,1,,,,,,,,,,,,,,,,,,,10,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,7,,,,,,,2,,,,
ucsc,GRAZED,,4,,,,,,6,58,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,4,,,,,,,,,,4,,,,,,,1,,,,
ucsc,GRAZED,,5,,,,,,,96,4,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,
ucsc,GRAZED,,6,,,,,,,71,,,,,2,,,,,,,,,,,,,,,,,,,47,1,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,3,2,,,,,,3,,,,
