forb,,,,,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,
elk,cl2,ll,3,2,,,,,,1,,,4,,,,,,5,,,,,,3,,,3,1,,,,,,,,,,,,,7,,,13,,,2,,1,,,,23,
elk,cl2,ll,3,3,1,,,,,2,,,2,,,,,,1,,,,,,4,,3,5,,,1,,,,,,,,,,,,,,7,,,7,,,,,,14,
elk,cl2,ll,3,4,,,,,,,,,3,,,,,,3,,1,,,,5,1,1,,,,,,,,,,,,,,,,,,3,,,12,,,,,,15,
elk,cl2,re,1,1,,,2,,,14,,,2,,,,,,,,4,,,,,,,,,,,,,,,,,,4,,,5,,,6,,,,,,,,,15,
elk,cl2,re,1,2,,,4,,,5,,,2,,,,,,,,,,,,,1,1,1,,,,,,,,,,,1,,,2,,,4,,,2,,,,4,,13,
elk,cl2,re,1,3,,,2,,,4,,,2,,,,,,2,,4,,,,,,1,,,,,,,,,,,,1,,,2,,,5,,,6,,,,3,,17,
elk,cl2,re,1,4,,,,,,7,,,2,,,,,,3,,4,,,,,,,,,,,,,,,,,,,,,6,,,7,,,3,,,,,,16,
elk,cl2,re,2,1,,,,,,2,,,4,,,,,,1,,,,,,,1,,4,,,,,,,,,,,,,,1,,,4,,,11,,,,,,16,
elk,cl2,re,2,2,,,,,,2,,,3,,1,,,,3,,,,,,,1,3,4,,,,,,,,,,,,,,3,,,7,,,1,,,,,,11,
elk,cl2,re,2,3,,,,,,1,,,5,,1,,,,4,,,,,,,1,,2,,,1,,,,,,,,,,,3,,,5,,,6,,,,,,14,
elk,cl2,re,2,4,,,,,,1,,,,,,,,,3,,,,,,,5,1,,,,,,,,,,,,,,,,,,6,,,15,,,,,,21,
elk,cl2,re,3,1,,,,,,1,,,,,2,,,,2,,,,,,4,,,2,,,,,,,,,,,1,,,,,,5,,,12,,,,,,18,
elk,cl2,re,3,2,,,1,,,,,,4,,,,,,5,,,,,,3,,,,,,,,,,,,,,,,,1,,,9,,,7,,,,,,17,
elk,cl2,re,3,3,,,,2,,,,,2,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,1,,,4,,,15,,,,,,20,
elk,cl2,re,3,4,,,,,,,,,3,,,,,,,,,,,,,1,,6,,,1,,,,1,,,,,,,2,,,10,,,10,,,,,,22,
elk,cl2,sd,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
elk,cl2,sd,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
elk,cl2,sd,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
elk,cl2,sd,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
elk,cl2,sd,2,1,,,1,,,1,,,5,,,,,,,,,,,1,,3,,6,,,,,,,,,,,2,,,1,,,15,,,2,,,,,,20,
elk,cl2,sd,2,2,,,1,,,1,,,2,,,,,,,,,,,,,6,1,2,,,,,,,5,,,,1,,,1,,,9,,,3,,,,,,14,
elk,cl2,sd,2,3,,,,,,,,,4,,,,,,,,,,,,,7,2,,,,,,,,5,,,,,,,1,,,9,,,7,,,,,,17,
elk,cl2,sd,2,4,,,,,,7,,,4,,,,,,2,,,,,,,2,,,,,,,,,2,,,,1,,,3,,,7,,,10,,,,,,21,
elk,cl2,sd,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
elk,cl2,sd,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
elk,cl2,sd,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
elk,cl2,sd,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
elk,cl3,ll,1,1,,,1,,,2,,,2,,,,,,2,,,,,,1,2,,2,,,,,,,11,,,,,,,,,,2,,,5,,,,,,7,
elk,cl3,ll,1,2,,,1,,,1,,,2,,1,,,,2,,,,,,,,,9,,,,,,,,,,,,,,,,,4,,,13,,,,,,17,
elk,cl3,ll,1,3,,,,,,1,,,1,,2,,,,,,,,,,1,,,11,,,,,,,2,,,,,,,,,,1,,,12,,,,,,13,
elk,cl3,ll,1,4,,,2,,,1,,,3,,1,,,,2,,,,,,,1,1,5,,,,,,,,,,,,,,2,,,,,,9,,,,,,11,
elk,cl3,ll,2,1,,,1,,,2,,,,,1,,,,,,,,,,1,1,,1,,,,,,,4,,,,,,,,,,6,,,13,,,,,,19,
elk,cl3,ll,2,2,,,,,,4,,,3,,1,,,,1,,,,,,1,,3,,,,1,,,,3,,,,,,,,,,9,,,8,,,,,,17,
elk,cl3,ll,2,3,,,1,,,2,,,1,,,,,,3,,,,,,1,1,,,,,2,,,,1,,,,,,,1,,,5,,,14,,,,,,20,
elk,cl3,ll,2,4,,,,,,1,,,3,,,,,,1,,,,,,2,,,6,,,1,,,,1,,,,,,,,,,8,,,12,,,,,,20,
elk,cl3,ll,3,1,,,1,,,,,,8,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,7,,,9,,,1,,,,,,17,
elk,cl3,ll,3,2,,,,,,1,,,6,,,,,,5,,,,,,1,,,3,,,,,,,6,,,,,,,,,,6,,,7,,,,,,13,
elk,cl3,ll,3,3,,,,,,1,,,3,,,,,,,,,,,,2,1,,,,,,,,,11,,,,,,,1,,,7,,,8,,,,,,16,
elk,cl3,ll,3,4,,,2,,,2,,,6,,1,,,,1,,,,,,,1,,,,,,,,,3,,,,1,,,1,,,10,,,3,,,,,,15,
elk,cl3,re,1,1,,,,,,,,,5,,,,,,2,,,,,,,,,4,,,1,,,,,,,,,,,3,,,7,,,12,6,,,,,28,
elk,cl3,re,1,2,,,1,,,1,,,2,,,,,,1,,,,,,,,1,5,,,,,,,2,,,,,,,3,,,3,,,18,,,,,,24,
elk,cl3,re,1,3,,,,,,,,,6,,,,,,3,,,,,,,1,,2,,,,,,,1,,,,1,,,3,,,,,,13,,1,,,,18,
elk,cl3,re,1,4,1,,,,,1,,,4,,,,,,,,,,,,,3,2,3,,,,,,,4,,,,1,,,7,,,1,,,6,,,,,,15,
elk,cl3,re,2,1,1,,,,,13,,,,,,,,,3,,,,,,,,,6,,,,1,,,7,,,,,,,3,2,,6,,,8,,1,,,,20,
elk,cl3,re,2,2,,,,,,7,,,3,,,,,,2,,2,,,,,2,2,7,,,1,,,,7,,,,,,,5,,,2,,,13,,,,,,20,
elk,cl3,re,2,3,,,,,,10,,,5,,,,,,,,,,,1,,8,1,,,,,,,,5,,,,,,,4,,,8,,,10,,3,,,,25,
elk,cl3,re,2,4,2,,,,,4,,1,4,,,,,,,,,,,,,,10,1,,,,,,,9,,,,,,,1,,,8,,,11,,1,,,,21,
elk,cl3,re,3,1,,,2,,,2,,,4,,,,,,1,,,,,,,3,,,,,,,,,4,,1,,,,,7,,,8,,,1,,,,,,17,
elk,cl3,re,3,2,,,,,,6,,,2,,1,,,,1,,,,,,,8,1,3,,,,,,,,,,,,,,8,,,2,,,,,,,,,10,
elk,cl3,re,3,3,,,,,,4,,,,,2,,,,2,,,,,,,,1,4,,,,,,,,,,,,,,2,,,3,,,12,,,,,,17,
elk,cl3,re,3,4,,,1,,,3,,,4,,1,,,,4,,,,,,1,3,,,,,,,,,1,,,,,,,3,,,3,,,2,,,,,,8,
elk,cl3,sd,1,1,,,,3,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,8,,,4,,,,,,,,,17,
elk,cl3,sd,1,2,,,,,,5,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,10,,,3,,,,,,,,,17,
elk,cl3,sd,1,3,,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,16,,,,,,,,,,,,17,
elk,cl3,sd,1,4,,,,,,4,,,9,,,,,,1,,,,,,,,,,,,,,,,,,,,4,,,10,,,1,,,,,,,,,15,
elk,cl3,sd,2,1,,,,,,4,,,1,,,,,,1,,,,,,3,,,6,,,,,,,,,,,,,,10,,,4,,,10,,,,,,24,
elk,cl3,sd,2,2,,,,,,3,,,8,,,,,,4,,,,,,1,,1,,,,,,,,,,,,,,,2,,,4,,,10,,,,,,16,
elk,cl3,sd,2,3,,,1,,,3,,,5,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,10,,,2,,,5,,,,,,18,
elk,cl3,sd,2,4,,,1,,,8,,,5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,7,,,,,,10,,,,,,17,
elk,cl3,sd,3,1,,,,1,,5,,,4,,,,,,1,,,,,,,2,,1,,,,,,,,,,,,,,18,,,12,,,1,,,,,,31,
elk,cl3,sd,3,2,,,,1,,3,,,6,,,,,,1,,,,,,,1,,1,,,,,,,,,,,1,,,12,,,4,,,8,,,,,,25,
elk,cl3,sd,3,3,,,,2,,3,,,4,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,6,,,3,,,,,,,10,,19,
elk,cl3,sd,3,4,,,,1,,5,,,3,,,,,,2,,,,,,1,,1,5,,,,,,,,,,,,,,6,,,5,,,7,,,,,,18,
elk,con,.,1,1,,,,,,3,,,1,,,,,1,,,1,,,,4,,,,,,,,,,,,,,1,,,8,,,14,,,1,,,,,3,27,
elk,con,.,1,2,,,,,,,,,1,,2,,,,,,,,,,2,,,,,,,,,,,,1,,,,1,6,,,18,,,2,,,,,,28,
elk,con,.,1,3,,,,,,,,,1,,1,,,,,,,,,,10,,,,,,,,,,,,,,,,,7,,,8,,,,,,,,,15,
elk,con,.,1,4,,,,,,,,,7,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,4,,,2,,,,,,,,,6,
elk,con,.,2,1,,,,,,,,,,,,,,,,,,,,,6,,,1,,,,,,,,,,,,,,,,,17,,,4,,,,2,,23,
elk,con,.,2,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,21,,,5,,,,,,28,
elk,con,.,2,3,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,2,,,6,,,5,,,1,,,14,
elk,con,.,2,4,,,,,,,,,1,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,9,,,9,,,,,,18,
elk,con,.,3,1,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,11,,,,,,33,
elk,con,.,3,2,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,,,,,,,,,,,,,,6,,,18,,,,,,24,
elk,con,.,3,3,,1,,,,1,,,,,,,,,1,,1,,,,9,,,,,,,,,,,,,,1,,,,,,9,,,3,,,,,,13,
elk,con,.,3,4,,,,,,2,,,1,,,,,,1,,,,,,3,,,,,,,,,,,,,,2,,,,,,5,,,14,,,,,,21,
elk,gra,.,1,1,,,,,,1,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,7,,,8,,,5,,,7,,,,,,27,
elk,gra,.,1,2,1,,,,,6,,,,,,,,4,1,,,,,,,,,5,,,,,,,,,,,1,,,1,,,5,,,16,,2,,,,25,
elk,gra,.,1,3,,,,,,2,,,1,,,,,,1,,,,,,,,1,3,,,,,,,,,,,4,,,9,,,17,,,8,,,,,,38,
elk,gra,.,1,4,,,,,,5,,,1,,,,,,1,,,,,,1,,,5,,,,,,,,,1,1,4,,,4,,,9,,,7,,,,,,26,
elk,gra,.,2,1,,,1,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,4,,,23,,,4,,,,,,31,
elk,gra,.,2,2,1,,,,,5,,,1,,2,,,,3,,,,,,1,,,6,,,,,,,,,,,2,,,1,,,15,,,,,2,,,,20,
elk,gra,.,2,3,,,,,,3,,,,,,,,,3,,,,,,2,,,4,,,,,,,,,,,15,,,2,,,6,,,,,,,,,23,
elk,gra,.,2,4,,,,,,5,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,6,,,5,,,17,,,,,,,,,28,
elk,gra,.,3,1,1,1,,,,1,,,,,4,,,3,2,,,,,,,,,7,,,,,,,,,,,,,,,,,3,,,14,,2,1,,,20,
elk,gra,.,3,2,1,,,,,5,1,2,,,,,,,1,,2,,,,,,,3,,,,,,,,,,,9,,,4,,,21,,,,,,,,,34,
elk,gra,.,3,3,2,1,1,,,2,,,,,4,,,1,1,,,,,,,,,9,,,,,,,1,,,,2,,,9,,,8,,,6,,,,,,25,
elk,gra,.,3,4,1,,,,,2,,,,,3,,,,3,,,,,,,,,3,,,,,,,,,,,,,,,,,12,,,13,,6,1,,,32,
swa,cl1,ll,1,1,,,,,,,,,2,,,,,,,,10,,,,,,,,,,,,,,,,,,11,,,18,,,4,,,,,,,,,33,
swa,cl1,ll,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,12,,,19,,,,,,,,,46,
swa,cl1,ll,1,3,,,,,,,1,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,20,,,9,,,6,,,,,,,,,35,
swa,cl1,ll,1,4,,,,,,,,,,,,,,,2,,6,,,,,,,,,,,,,,,,,,5,,,6,,,23,,,4,,,,,,38,
swa,cl1,ll,2,1,,,,,,,,,,,,,,,,,11,,,,,,,2,,,,,,,,,,,3,,,6,,,17,,,,,,,,,26,
swa,cl1,ll,2,2,,,,,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,1,,,10,,,18,,,,,,,,,29,
swa,cl1,ll,2,3,,,,,,,,,,,1,,,,,,10,,,,,,,5,,,,,,,,,,,2,,,5,,,22,,,,,,,,,29,
swa,cl1,ll,2,4,,,,,,,,,1,,,,1,,3,,5,,,,,,,2,,,,,,,,,,,6,,,6,,,17,,,,,,,,,29,
swa,cl1,ll,3,1,,,,,,1,,,1,,,,,,1,,3,,,,,,,2,,,,,,,,,,,19,,,1,,,9,,,,,,,,,29,
swa,cl1,ll,3,2,,,1,,,,1,,,,,,,,,,4,,,,,,,,,,,,,,,,,,21,,,5,,,13,,,,,,,,,39,
swa,cl1,ll,3,3,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,10,,,9,,,,,,,,,32,
swa,cl1,ll,3,4,,,,,,,1,,1,,,,,,,,2,1,,,,,,,,,,,,,,,,,12,,,13,,,5,,,,,,,,,30,
swa,cl1,re,1,1,,,,,,,,,1,,1,1,,,6,,6,,,,,,,9,1,,,,,,,,,,,,,4,,1,17,,,2,,,,,,24,
swa,cl1,re,1,2,,,,,,,,,1,,,,,,9,,2,,,,,,1,4,,,,,,,,,,,2,,,6,,1,11,5,,2,,,,,,27,
swa,cl1,re,1,3,,,,,,,,,2,,,1,,,5,,4,,,,,,,8,,,,,,,,,,,3,,,10,,,13,1,,,,,,,,27,
swa,cl1,re,1,4,,,2,,,,,,,,,,,,6,,5,,,,,,1,6,,,,,,,,,,,3,,,3,,,16,3,,4,,,,,,29,
swa,cl1,re,2,1,,,,,,,,,,,2,,,,3,,1,,,,,,,3,,,,,,,,,,,7,,,2,,,17,1,,11,,,,,,38,
swa,cl1,re,2,2,,,,,,,,,,,1,,,,2,,1,,,,,,,4,,,,,,,,,,,4,,,7,,,18,1,,4,,,,,,34,
swa,cl1,re,2,3,,,,,,,,,,,,,,,14,,1,,,,,1,1,4,,,,,,,,,,,7,,,1,,,7,,,13,,,,,,28,
swa,cl1,re,2,4,,,,,,,,,,,2,,,,8,,3,,,,,,,9,,,,,,,,,,,4,,,5,,,16,,,1,,,,,4,30,
swa,cl1,re,3,1,,,,,,1,1,,,,,,,,2,,4,,,,,,,3,,,,,,,,,,,11,,,9,,,24,,,,,,,,,44,
swa,cl1,re,3,2,,,,,,,,,,,,,,,,,8,,,,,1,,5,,,,,,,,,,,7,,,2,,,25,,,,,,,,,34,
swa,cl1,re,3,3,,,,,,,6,,,,,,,,,,2,,,,,,,5,,,,,,,,,,,14,,,8,,,11,,,,,,,,,33,
swa,cl1,re,3,4,,,,,,,1,,,,,,1,,,,3,,,,,,,1,,,,,,,,,,,11,,,11,,,14,4,,,,,,,,40,
swa,cl1,sd,1,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,17,,,3,,,14,,,,,,,,,34,
swa,cl1,sd,1,2,,,,,,,,,1,,2,,,,3,,1,,,,,,,2,,,,,,,,,,,11,,,8,,,12,,,,,,,,,31,
swa,cl1,sd,1,3,,,,,,,,,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,11,,,11,,,14,,,,,,,,,36,
swa,cl1,sd,1,4,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,17,,,4,,,13,,,,,,,,,34,
swa,cl1,sd,2,1,,,2,,,1,,,,,,,,,2,,8,,,,,,,1,,,,,,,,,,,8,,,7,,,11,,,,,,,,,26,
swa,cl1,sd,2,2,,,,,,3,3,,,,,,,,,,4,,,,,,,,,,,,,,,,,,4,,,10,,1,17,,,,,,,,,32,
swa,cl1,sd,2,3,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,11,,,12,,,19,,,,,,,,,42,
swa,cl1,sd,2,4,,,,,,7,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,21,,,10,,,6,,,,,,,,,37,
swa,cl1,sd,3,1,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,18,,,14,,,4,,,,,,,,,36,
swa,cl1,sd,3,2,,,9,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,5,,,13,,,4,,,,,,,,,22,
swa,cl1,sd,3,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,4,,,25,,,3,,,,,,,,,32,
swa,cl1,sd,3,4,,,,,,,,,1,,1,,1,,8,,,,,,,,,,,,,,,,,,,,4,,,21,,,3,,,,,,,,,28,
swa,cl2,ll,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,,,9,,,20,,,1,,,,,,34,
swa,cl2,ll,1,2,,,,,,,,,,,1,,,,2,,3,,,,,,,5,,,,,,,,,,,2,,,6,,,17,3,,,,,,,,28,
swa,cl2,ll,1,3,,,,,,,1,,2,,,,,,6,,2,,,,,,2,3,,,,,,,,,,,1,,,3,,,7,5,,,,,,,,16,
swa,cl2,ll,1,4,,,,,,,4,,,,,,,,2,,1,,,,,,,7,,,,,,,,,,,7,,,6,,,6,,,,,,,,,19,
swa,cl2,ll,2,1,,,,,,1,2,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,14,,,10,,1,6,,,,,,,,,31,
swa,cl2,ll,2,2,,,,,,,4,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,5,,,6,,,12,,,,,,,,,23,
swa,cl2,ll,2,3,,,1,,,1,5,,3,,,,,,,,2,,,,,,,4,,,,,,,,,,,9,,,3,,,9,,,,,,,,,21,
swa,cl2,ll,2,4,,,,,,,5,,2,,,,,,,,6,,,,,,,3,,,,,,,,,,,11,,,,,,9,2,,,,,,,,22,
swa,cl2,ll,3,1,,,,,,,1,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,7,,,10,,,17,,,,,,,,,34,
swa,cl2,ll,3,2,,,,,,,8,,1,,1,,,,,,,,,,2,,,,,,,,,,,,,,9,,,7,,,1,,,,,,,,,17,
swa,cl2,ll,3,3,,,,,,1,3,,1,,,,,,,,1,,,,,,,2,,,,,,,,,,,3,,,11,,1,6,,,,,,,,,21,
swa,cl2,ll,3,4,,,,,,,9,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,7,3,,,,,,,,15,
swa,cl2,re,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
swa,cl2,re,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
swa,cl2,re,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
