SITE,FREQ,TREAT,REP,Comments,aircar,anaarv,anamin,avebar,bare,brach,brassp,brimaj,brimin,brocar,brodia,brohor,broter,calcil,camova,carex,carpyc,cartum,cerglo,chamisonia,cilmar,cirglo,cirarv,cirvul,cladav,conarv,conyza,cynech,dancal,dung,erobot,erocic,eromos,esccal,gerdis,hollan,horbra,hornur,hypgla,hyprad,junbuf,jun mex,junocc,junpat,junpha,linbie,lolmul,lolper,lupnan,lythys,madcap,madsat,medpol,naslep,naspul,phaaqu,plalan,poaann,rumace,rumpul,scikoi,shearv,sisbel,solses,sonasp,sonole,stenit,stemed,thatch,triang,tridub,trisub,trypus,verpur,vicia,vulpsp
swa,CL1,SD,3,,,,,,17,3,,,,1,28,,,,,,,,,,,,,,1,,,6,,,5,,,,2,,,,,,,,,,,,2,,,,,,,,3,,1,,7,,,1,,,,,,,2,,3,,,,,45
swa,CLA,LL,1,,,,,,16,,,,,11,15,,,,,,,,,,,,,,,,,,27,,,,,,1,,,,,,,,,,,2,,,,,,,,,16,,44,,6,,,,,,,,,,,1,11,4,,,,76
swa,CLA,LL,2,,,,,,11,,,,,2,28,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,6,,,1,,,,,,,7,,,5,,,,40
swa,CLA,LL,3,,,,,,2,,,,,1,6,,,,,,,,,,,,,,,,,17,115,,,,,,,,,,1,,,,,,,,,,,,,,,,18,,35,,,,,,,,,,,,,,10,4,,,,11
swa,CLA,SD,1,,,,,,1,,,,,4,30,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,4,,,,,,,,29,,1,,3,,,,,,,,,,4,,,2,,,,52
swa,CLA,SD,2,,,,,,2,,,,,3,9,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,2,,,,,,,,,,2,,1,1,,,,33
swa,CLA,SD,3,,,,,,4,2,,,,,37,,,,,,,,,,,,,,,,,1,1,,,,,,2,,,,,,,,,,,,,,,,,,,,10,,1,,1,,,18,2,,,,,,,,6,10,,,,67
swa,CLB,LL,1,,,,,,5,,,,,,26,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,4,,,,,,,,,,10,,6,1,,,,,,,,,4,,1,1,,,,75
swa,CLB,LL,2,,,,,,8,,,,,,9,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,3,,14,,,,,,,,,,21,,,,,,,51
swa,CLB,LL,3,,,3,,,5,,,,,,69,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,8,,,,,,,,,,,,5,,,,,,,,,,13,1,,1,,,,60
swa,CLB,SD,1,,,1,,,1,,,,,2,20,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,9,,,,,,,,,,26,,,,,,,39
swa,CLB,SD,2,,,,,,2,,,,,,57,,,,,,,,2,,,,,2,,,,,,,,,,,7,,,,,,,,,,,,32,,,,,,,,,,1,,6,,,,,,3,,,,17,,,,,,,33
swa,CLB,SD,3,,,,,,4,,,,,,65,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,39,,,,,,,44
swa,CLC,LL,1,,,,,,,,,,,5,45,,,,,,,,,,,,,,,,,7,2,,,,,,1,,,,,,,,,,,,6,,,,,,,,,,3,,14,,,,,,,,,,16,,,1,,,,35
swa,CLC,LL,2,,,,,,10,,,,,,41,,,,,,,,,,,,,,,,,2,17,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,11,,,1,,,,,,,2,,2,1,,,,36
swa,CLC,LL,3,,,,,,1,3,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,20,,,,,,,1,,,2,,,,83
swa,NM,LL,1,,,6,,,4,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,3,,,,,,,,,,60,,,,,,,22
swa,NM,LL,2,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,4,,,,,,,,,,70,,,,,,,62
swa,NM,LL,3,,,,,,1,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,,,,,,,,,,63,,,,,,,19
swa,NM,LL,4,,,,,,3,,,,,,52,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,8,,,,,,,,,,7,,9,,,,,,,,,,41,,,1,,,,65
swa,NM,LL,5,,,,,,,1,,,,6,39,,,,,,,,1,,,,,,,,,4,12,,3,,,,,,,,1,,,,,,,,1,,,,,,,,2,,6,,12,,,4,,,2,,,,10,,2,2,,,,104
swa,NM,LL,6,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,62
swa,NM,SD,1,,,1,,,,,,,,1,12,,,,,,,,,,,,,,,,,1,14,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,3,,14,,,1,,,,,,,1,,4,5,,,,77
swa,NM,SD,2,,,,,,1,,,,,,24,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,3,,,,,,,,9,,1,,2,,,3,,,,,,,18,,,2,,,,42
swa,NM,SD,3,,,,,,2,,,,,,24,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,,,1,,,,,,,49,,,,,,,40
swa,CONTROL,,1,,,,,,,,,,,,34,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,21,3,,,,,,,,,31,,,1,,,,25
swa,CONTROL,,2,,,1,,,2,,,,,,97,,,,,,1,,,,2,,,,,,,,,,1,,,2,16,,,,,,,,,,,,1,,,,,,,,,,,,30,,,,,,,,,,14,,,,,,,25
swa,CONTROL,,3,,,1,,,1,,,,,,106,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,7,,,,,,,53
swa,GRAZED,,1,,,1,,,11,,,,,6,7,,,,,,,,,,,,,,,,,,1,,,,4,,,,,,,1,,,,,,,57,,,,,,,,,,,1,5,,,,,,,,,,1,,1,7,,,,19
swa,GRAZED,,2,,,,,,12,,,,,,23,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,43,,,,,,,,,,7,,1,1,,,,,,,,,,,3,15,,,,21
swa,GRAZED,,3,,,,,,9,2,,,,,34,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,1,,,,,,,15,,,,,,,,,,3,,4,,,,,,,,,,,,3,16,,,,33
swa,GRAZED,,4,,,,,,16,,,,,,103,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,,13,,,,,,,,,,,,18,,,,,,,,,,,,,19,,,,25
swa,GRAZED,,5,,,,,,8,,,,,,17,,,,,,,,,,,,,,,,,,32,,,,,,,,,,2,1,2,,,,,,10,,,,,,,,,,1,,1,,,,,,,,,,1,,2,20,,,,38
swa,GRAZED,,6,,,,,,11,,,,,,64,,,,,,,,,,,,,,,,,,14,,6,,,,,,,,,4,,,,,,2,1,,,,,,,,5,,14,,3,,,1,,,,,,,3,2,6,2,,,,93
ucsc,CL1,LL,1,,,,,,8,61,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
ucsc,CL1,LL,2,,,,,1,6,44,1,,,,8,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,8,,,,,,,37
ucsc,CL1,LL,3,,,,,,4,78,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
ucsc,CL1,SD,1,,,4,,,16,54,,,,,,,,,,,,,,,,,,,,,,,,,20,3,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,6,,,,,,,,,,,,,15
ucsc,CL1,SD,2,,,1,,5,6,63,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,10
ucsc,CL1,SD,3,,,,,1,12,52,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,6,,,,,,,5
ucsc,CLA,LL,1,,,,,,11,69,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,4,,,,,,,
ucsc,CLA,LL,2,exotic trifolium present,,3,,,4,79,,,,,3,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2
ucsc,CLA,LL,3,,,,,3,1,70,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,11,,,,,,,4
ucsc,CLA,SD,1,,,,,3,28,28,,,,,10,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,1,,,,4,,,,,,,,,,1,,,,,,,18
ucsc,CLA,SD,2,,,,,1,9,78,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,10,,,,,,,,,,,,,1
ucsc,CLA,SD,3,,,4,,,3,51,,,,,1,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,8,,,,,,,32
ucsc,CLB,LL,1,,,2,,,,60,,,,1,2,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,42
ucsc,CLB,LL,2,,,8,,,2,63,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,3,,,,,,,18
ucsc,CLB,LL,3,,,3,,,,51,,,,,4,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,27
ucsc,CLB,SD,1,brocal present,,,,,3,76,,,,,4,,,,,,,,,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,4,,,,,,,3
ucsc,CLB,SD,2,,,,,1,,86,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,6
ucsc,CLB,SD,3,,,,,,11,59,,,,,6,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,15,,,,,,,17
ucsc,CLC,LL,1,,,,,,3,71,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,13
ucsc,CLC,LL,2,,,,,6,,80,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,7
ucsc,CLC,LL,3,,,1,,1,4,80,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,5
ucsc,CONTROL,,1,,,,,,,76,,,,,1,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,8,,,,,,,1
ucsc,CONTROL,,2,,,,,20,2,65,,,,,3,,,,,,,,,,,,,,,,,,,,6,,,,1,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,11,,,,,,,
ucsc,CONTROL,,3,,,,,,,41,,,,,9,,,,,,,,,,,,,,,,,,,,29,,,,16,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,6,,,,,,,15
ucsc,NM,LL,1,,,,,,1,64,,,,,,,,,,,,,,,,,,,,,,,,,28,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
ucsc,NM,LL,2,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,28,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2
ucsc,NM,LL,3,,,,,,,89,4,,,,,,,,,,,,,,,,,,,,,,,,13,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4
ucsc,NM,LL,4,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,9,,,,,,,4
ucsc,NM,LL,5,,,,,,1,73,,,,,20,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,5,,,,,,,12
ucsc,NM,LL,6,,,,,4,10,78,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,2
ucsc,NM,SD,1,,,,,1,8,57,,,,,2,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,6,,,,,,5,,,,,,,3
ucsc,NM,SD,2,,,5,,,1,61,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,2,,,,,,,21
ucsc,NM,SD,3,,,1,,,6,66,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,6,,,,,,11,,,,,,,7
ucsc,GRAZED,,1,,,,,,,40,,,,,21,,,,,,,,,,,,,,,,,,,,7,,,,1,,,,,,,,,,,,6,,,,,,,,,,5,,,,,,,,,,,,7,,,,,,,39
ucsc,GRAZED,,2,,,,,1,15,56,,,,,7,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,16
ucsc,GRAZED,,3,MISSING DATA SHEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ucsc,GRAZED,,4,,,,,,4,50,,,,,8,,,,,,,,,,,,,,,,,,,,13,,,,3,,,,,,,,,,,,3,,,,,,,,,,,,5,,,,,,,,,,13,,,,,,,15
ucsc,GRAZED,,5,,,,,,,66,,,,,14,,,,,,,,,,,,,,,,,,1,,6,,,,2,,,,,,,,,,,,3,,,,,,,,1,,,,1,,,,,,,,,,4,,,,,,,16
ucsc,GRAZED,,6,,,,,4,,50,,,,,19,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,13,1,,,,,,37
