,,,,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,,,,,,
elk,cl2,ll,2,1,9,,,16,2,1,18,,,,,,,,,,,,,,,,,,,,1,,,50,1,,,,2,,,,,,,,,,,,,,,,1,,,,,,3,,54,,,,,,,,
elk,cl2,ll,3,1,24,,,26,1,,11,1,,,,,,,,,,,6,1,,,,,,,1,5,,84,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,50,,,,,,2,,
elk,cl2,re,1,1,35,,,18,,,4,,,,,,,,,,,,2,7,,,,,,,,,,58,,,2,,,,,,,,2,,,,,,,,,,,,,,,,4,,34,,,,,,,,
elk,cl2,re,2,,7,,,27,1,1,5,2,,,,,,,,,,,2,5,,,,,,,,2,1,56,,,,,5,,,,,,,,,1,,,,,,,,,,,,,6,,47,,,,,,,,
elk,cl2,re,3,,17,,,21,3,3,20,,,,,,,,,,,,3,,,,,,,,,2,1,54,28,,,,1,1,,,,,,,,1,,,,,,1,1,,,,,11,30,,53,,,,,,,,
elk,cl2,sd,1,,22,,,16,4,1,48,1,,,,,,,,,,,3,,,,,,,,1,,29,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,
elk,cl2,sd,2,1,22,,,42,26,2,15,1,,,,,,,,,,,1,,,,,,,,,4,6,73,,,,,10,,,,,,,,,2,,,,,,,,,,,,,,,48,,,,,,,,
elk,cl2,sd,3,1,27,2,,3,2,5,32,,,,,,,,,,,1,2,,,,,,,,2,,,40,3,,5,,2,,,,,,,,,,,,,,,,,,,,,,1,,38,,,,,,1,,
elk,cl3,ll,1,,10,,,12,4,6,10,,,,,,,,,,,,2,,,,,,,,,,,45,5,,1,,2,,,,,,,,,1,,,,,,,4,,,,,,7,,55,,,,,,,,
elk,cl3,ll,2,1,6,,,40,2,3,7,1,,,,,,7,,,,2,5,,,,,,,,,,2,37,8,,1,,12,2,,,2,,,,,3,8,,,,,,,,,,,7,20,,60,,,,,,,,
elk,cl3,ll,3,,3,,,19,6,,33,,,,,,,,,,,,3,,,,,,,,,,,20,3,,3,,1,2,,,,,,,,2,,,,,,,,,,,,,17,,62,,,,,,,,
elk,cl3,re,1,1,8,,,25,1,4,37,,,,1,,,,,,,2,8,2,,,,,,,3,,5,24,18,,,,2,1,,5,,,,,,1,,,,,,,,,,,,,6,,68,,,,,,,,
elk,cl3,re,2,1,22,,,23,8,3,28,,,,,,,,,,,,5,,,,,,,,,,,34,14,,,,1,,8,,,,,,,2,,,,,,,3,,,,,6,13,,64,,,,,,,,
elk,cl3,re,3,,29,,,28,11,5,18,,,,,,,,,,,,3,,,,,,,,2,2,1,61,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,1,,
elk,cl3,sd,1,,40,,,29,,,,,,,,,,,,,,,12,12,,,,,,,8,,1,58,,,,,3,,,,1,,,,,,,,1,,,,,,,,,,,,24,,,,,,,,
elk,cl3,sd,2,1,8,,,17,1,4,20,3,,,,,,1,,,,,5,,,,,,,,2,,,37,,,4,,1,,,,,,,,,,,,,,,,,,,,,,2,,62,,,,,,,,
elk,cl3,sd,3,,21,,,27,1,1,4,,,,,,,,,,,,7,,,,,,,,,1,4,26,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,
elk,con,no,1,,6,,2,26,2,,2,,,,,,,,,,,,,7,,,,,,,,,16,83,,,,10,,,,,1,,,,,,,,,,,,,,,,,,,,31,,,,,,2,,
elk,con,no,2,,,,,7,1,,1,,,,,,,,,,,,,1,,,,,,,,2,32,61,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,4,,
elk,con,no,3,1,27,,,9,1,3,17,,,,,,,,,,,,1,1,,,,,,,,,13,75,,1,,,3,,,,,,,,,,,,,,,,,,,,,,4,,14,,,2,,,1,,
elk,gra,no,1,2,23,7,,4,2,2,28,,,,,,,,,,,,2,2,,,,,,,,1,9,24,5,,12,,,1,,,21,,,,,,,,,,,,,,,,,,23,,37,,,,,,,,
elk,gra,no,2,,51,,,4,1,,35,,,,,,,,,,,,,1,,,,,,,,3,23,65,,,,4,5,,,,,,,,,,,,,,,,,,,,,8,,,1,,,,,,,,
elk,gra,no,3,1,26,,,9,9,5,8,,,,,,,,,,,,,,,,,,,,3,,3,81,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,1,,
swa,cl1,ll,1,,,,,31,,,4,,,,,,,,,,,,13,14,,,,,,,,52,6,52,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,1,,
swa,cl1,ll,2,1,,,,23,,,22,,,,,,,,1,,,4,7,18,,,,,,,,44,39,50,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
swa,cl1,ll,3,2,6,,4,13,,1,19,,,,,,,,,10,,,2,24,,,,,1,,,60,52,15,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swa,cl1,re,1,,,,,8,,12,38,,,,,,,,,,,5,35,15,,12,,,,,,12,10,23,10,,2,,,,,,,,,,,,,,,,,,,,,,,1,,22,32,,,1,,,,,
swa,cl1,re,2,,1,,,6,1,33,58,,,,,,,,,,,8,47,19,,4,,,,,3,8,4,71,5,,,,3,,,,,,,,,,,,,,,,,,,,,,,,23,,1,,,,,,
swa,cl1,re,3,,9,,1,4,2,2,30,,,,,,,,,,,,3,14,,,,,,,,83,12,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swa,cl1,sd,1,1,,1,,14,,1,30,,,,,,,,,5,,,24,11,,,,,,,,48,13,65,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,6,,,,,,,
swa,cl1,sd,2,,2,1,2,,,2,21,,,,,,,,,,,,23,,,,,,,,,21,16,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swa,cl1,sd,3,,11,,2,9,1,7,15,,,,,,,,,1,,,37,41,,,,,,,,38,6,74,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
swa,cl2,ll,1,,3,,1,4,2,4,16,,,,,,,,,1,,1,15,44,,,,,,,,57,6,9,8,,,,4,,,,,,,,,,,,,,,,,,,,,,,3,5,,,,,,2,,
swa,cl2,ll,2,,7,,6,44,1,,23,,,,,,,,,,,,4,15,,,,,,2,,86,4,19,,6,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
swa,cl2,ll,3,,1,,,23,,1,11,,,,,,,1,,,,,,35,,,,,,,,64,27,20,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
swa,cl2,re,1,4,,,,30,3,1,47,,,,,,,,,,,1,44,2,,1,,,1,,,23,1,42,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,3,,25,,,,,,,
swa,cl2,re,2,7,26,,26,16,3,4,43,6,,,,,2,1,,,,6,,22,,,,10,,,,51,3,5,,7,1,,6,,,,,,,,,,,6,,,,,,,,,,1,1,,,,,,,,,,
swa,cl2,re,3,,2,,,20,,5,25,2,,1,,,15,,,,,4,46,27,,,,,,,,27,4,29,2,3,,,5,,,,,,,,,,,,,,,,,,,,,,,2,,1,,2,,,1,,
swa,cl2,sd,1,1,2,,3,7,,9,31,1,,,,,,,,1,,4,63,13,,,,,,,,26,1,7,3,,,,7,,,,,2,,3,,,,,,,,,,,,,,,,,5,,,1,,,,,
swa,cl2,sd,2,2,31,,17,42,2,,37,,,,,,,,,,,11,3,48,,,,,,,,55,2,18,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swa,cl2,sd,3,,8,,9,4,1,,52,1,,,,2,,,1,,,11,6,5,,,,,,,,45,9,68,1,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,
swa,cl3,ll,1,2,1,,1,7,3,6,68,,,,,,1,1,,,,5,23,29,,,,,,,,,15,4,6,,22,,3,1,,,,,,3,,,,,,,,,,,,,,,,16,9,,,2,,,,,
swa,cl3,ll,2,3,21,,10,33,1,1,38,,,,,,,,,1,,8,1,32,,,,,1,,,39,12,22,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,
swa,cl3,ll,3,3,13,,16,27,,,43,,,,,,,,2,,,10,1,5,,,,,,,,3,46,26,1,,,,2,2,,,,,,,,,,5,,,2,,,,,,,,,,,,,2,,,,,
swa,cl3,re,1,2,14,3,2,6,1,3,35,,,,,,,,1,3,5,6,11,29,,,,,,3,,,15,11,,,,,,,,,,,,,,,,,,,1,,,,,,,,,9,,20,,17,,,1,,
swa,cl3,re,2,,3,,1,4,,3,83,,,,,,,,,,,2,32,17,,,,,,,,4,18,9,4,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,
swa,cl3,re,3,4,3,,11,33,3,1,51,,,,,,1,,,,,,35,15,,2,,,,,,7,3,40,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,1,,
swa,cl3,sd,1,3,5,,7,10,,3,75,,,,,,,,,,,,8,20,,,,,8,,,12,12,6,2,,,,5,,,,,,,,,,,,,,,,,,,,1,2,,1,25,,,2,,,,,
swa,cl3,sd,2,3,6,,13,23,2,5,38,,,,,,1,,1,,,9,37,19,,,,,,,,2,4,8,7,,6,,2,8,,,,,,,,,,,,,,,,,,,,,1,,8,,,1,,,,,
swa,cl3,sd,3,7,3,,17,18,1,1,45,,,,,,,,,,,2,27,29,,,,,,,,37,2,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
swa,con,no,1,8,,,,19,,,1,,,,,,,,,,,,,12,,,,,2,,,41,49,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,1,,
swa,con,no,2,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,57,22,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
swa,con,no,3,,,,,11,,,,,,,,,,,,,,,,8,,,,,,,,46,55,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,
swa,gra,no,1,,,,,10,,14,43,,,,,,,,,,,4,21,5,,3,,,,,,24,4,89,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,4,,,1,2,,,,
swa,gra,no,2,1,1,3,11,,3,11,49,,,,,,,,,,,,5,4,,,,,,,,24,15,54,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,4,,,,,
swa,gra,no,3,,,1,13,8,,2,48,,,,,1,,,,1,,4,3,5,,,,,,,,25,28,32,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
ucsc,cl1,ll,1,3,30,9,,,1,,,,,,,,,,,,,,38,,,,,,,42,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,8,,
ucsc,cl1,ll,2,2,17,7,,11,,,,,,,,,,,,,2,,4,4,,,,,,76,,1,3,4,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,2,,
ucsc,cl1,ll,3,2,41,1,,3,,,,,,,,,,,,,,,,,,,,,,67,,,4,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,7,,,,,
ucsc,cl1,re,1,2,33,4,,,,,2,,,,,,,,,,,,25,,,,,,,29,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,3,,,8,,
ucsc,cl1,re,2,1,30,9,,1,,,,,,,,,,,,,,,2,1,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,4,,
ucsc,cl1,re,3,6,8,8,,,,1,,,,,,,,,,,,,24,4,,,,,,37,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,14,,
ucsc,cl1,sd,1,4,40,7,,1,,,,,,,,,,,,,,,26,,,,,,,48,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3,,
ucsc,cl1,sd,2,6,26,9,,,,,,,,,,,,,,,,,10,2,,,,,,50,,3,9,23,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,2,,
ucsc,cl1,sd,3,3,19,15,,1,5,,,,,,,,,,,,2,,27,3,,,,,,51,,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
ucsc,cl2,ll,1,,78,2,,3,,,,,,,,,,,,,,,,,,,,,,35,,3,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
ucsc,cl2,ll,2,2,22,11,,3,,,,,,,,,,,,,,,11,2,,,,,,54,,,,15,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,1,3,,
ucsc,cl2,ll,3,,30,4,,6,,,,,,,,,,,,,,,14,,,,,,,20,,6,,11,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,22,,,1,,
ucsc,cl2,re,1,3,34,5,,,,,,,,,,,,,,,,,9,9,,,,,,26,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,10,,
ucsc,cl2,re,2,,23,15,1,5,1,,,,,,,,,,,,,,9,1,,,,,,56,,,,4,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,8,,1,1,,
ucsc,cl2,re,3,3,30,3,1,1,,,,,,,,,,,,,,,4,6,,,,,,49,,,,5,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,27,,,2,,
ucsc,cl2,sd,1,3,34,3,,,,,,,,,,,,,,,2,,17,,,,,,,26,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,,,4,,
ucsc,cl2,sd,2,3,43,,,,,,,,3,,,,,,,,,,12,,,,,,,13,,5,6,14,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,13,,,2,,
ucsc,cl2,sd,3,1,35,3,,5,,,,,,,,,,,,,,,34,,,,,,,47,,,,6,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,1,,,1,,
ucsc,cl3,ll,1,9,22,30,,3,1,,,,,,,,,,,,,,22,9,,,,,,19,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,9,,
ucsc,cl3,ll,2,2,30,2,,,,,,,,,,,,,,,,,36,,,,,,,27,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,9,,
ucsc,cl3,ll,3,,38,7,,11,,,,,,,,,,,,,,,5,7,,,,,,24,,,,40,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,9,,,2,,
ucsc,cl3,re,1,15,29,18,,,,,,,,,,,,,,,,,2,,,,,,,38,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
ucsc,cl3,re,2,7,24,15,,1,1,,,,,,,,,,,,,,45,,,,,,,17,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,2,,
ucsc,cl3,re,3,2,39,15,,3,,,,,,,,,,,,,,,11,2,,,,,,22,,,,21,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,8,,,1,,
ucsc,cl3,sd,1,,41,7,,8,,,,,,,,,,,,,10,,7,6,,,,,,34,,,1,32,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,7,,,5,,
ucsc,cl3,sd,2,7,35,,,5,,,,,,,,,,,,,,,5,,,,,,,41,,,,11,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,26,,,,,
ucsc,cl3,sd,3,2,10,4,,6,,,,,,,,,,,,,,,30,,,,,,,46,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,
ucsc,con,no,1,3,15,,,11,,,,,,,,,,,,,,,26,2,,,,,,41,1,,2,1,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,1,,,,17,,
ucsc,con,no,2,2,14,2,,6,,,,,,,,,,,,,,,29,,,,,,,49,,1,1,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,6,,,11,,
ucsc,con,no,3,,43,1,3,6,,,,,,,,,,,,,,,2,2,,,,,,45,,,6,3,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,3,,,1,,
ucsc,gra,no,1,3,22,5,,3,3,,,,,,,,,,,,6,,35,3,,,,,,36,,1,9,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,
ucsc,gra,no,2,1,18,9,1,16,,,,,,,,,,,,,18,2,19,9,,,,,,36,,,21,29,,9,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,5,2,,2,,
ucsc,gra,no,3,1,9,22,,2,,,,,,,,,,,,,18,,20,,,,,,,32,,5,1,14,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,2,,,5,,
