SITE,FREQ,TreAT,REP,aircar,anaarv,anamin,avebar,bare,brach,brassp,brimaj,brimin,brocar,brodia,broter,brohor,bromsp,calcil,camova,carex,cerglo,cirarv,cynech,dancal,diccap,dung,elemac,epibra,erobot,erocic,eromos,esccal,gerdis,gnapur,hirinc,hollan,horbra,hypgla,hyprad,junbuf,linbie,junocc,junpha,lolmul,madsat,phaaqu,medpol,moss,naspul,plalan,poaann,rapsat,rumace,rumpul,rumcri,scikoi,sonole,stenit,shearv,sisbel,thatch,triang,tridub,tripus,trisub,vicia,vulpsp
elk,cl3,sd,2,,,,,3,,,,,,,,,,,,,,,,68,,,,,11,,,,20,,,,,,,,,,,,,,,,,2,,,,,,1,,1,,,,1,1,,24,,26
elk,cl3,sd,3,,,,,4,,,,,,,,,,,,,,,5,58,,,,,11,,,,21,,,,,,,2,,,,,,,,,,14,,,,,,,,1,,,1,,1,,13,,20
elk,con,none,1,,,,,,,,,,,10,,,,,,,,,,19,,,,,16,,,,42,,,,,,,,,,,37,,,,,,1,,,8,,,,,,,,3,,,,,,81
elk,con,none,2,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,17,,,,,,,,,,,51,,,,,,,,,4,,,,,,,,7,1,,,,,26
elk,con,none,3,,,,,1,,,,,,16,,,,,,,,,,3,,,,,12,,,,15,,,,,,,,,,,29,,,,,,6,,,4,,,,,,,,8,,,,2,,57
elk,graz,none,1,,,,,,,,,,,7,,,,,,,,,,34,,,,,9,1,,,5,,,,,,,,,,,9,1,,,,,3,,,,,,,,,,,,,,,20,,75
elk,graz,none,2,,,,,,,,,,,11,,,,,,,1,,,35,,,,,27,,,,4,,,,,,,,,,,18,,,,,,,,,,,,1,,,,,,,,,26,,53
elk,graz,none,3,,1,,,,,,,,,11,,,,,1,,1,,,44,,,,,15,,,,20,,,,,,,,,,,21,,,,,,3,,,,,,,,,,,1,2,3,,11,,81
swa,cl1,ll,1,,,,,,,,,,5,55,,,,,,,,,,6,,,,,,,,,29,,,,1,,1,,,,,7,,,,,,19,,,6,,,,,,,,2,,1,,12,,31
swa,cl1,ll,2,,,,,,,,,,,40,,,,,,,1,,,,,,,,,,5,,35,,,,,,1,,,,,1,,,,,,12,,,7,,,,,,,,,,,,31,,42
swa,cl1,ll,3,,,,,,,,,,,64,,,,,,,,,,1,,,,,4,,12,,24,,,,,,,,,,,44,,,,,,15,,,15,,,,,,,,,,,,15,2,2
swa,cl1,re,1,,,,,1,,,,,14,3,,,,,,,,,,36,,,,,,,,,3,,,,,,4,,1,,,4,,,,,,33,,,19,,,,,,,,,,,,46,,
swa,cl1,re,2,,,,,,,,,,4,,,,,,,,,,3,66,,,,,,,,,4,,,,,,1,,,,,,,,,,,48,,,12,,,,,,,,,,8,,45,,25
swa,cl1,re,3,,,,,,,,,,,54,,,,,,,,,,,,,,,25,,2,,7,,,,,,,,,,,,,,,,,6,,,8,,,,,,,,,,2,,29,,26
swa,cl1,sd,1,,1,,,1,,,,,1,26,,,,,,,,,,1,,,,,,,,,9,,,,,,1,,,,,10,,,,,,73,,,10,,,,,,,,3,4,2,,32,6,24
swa,cl1,sd,2,,,,,2,,,,,,15,,,,,,,,,,,,,,,5,,4,,4,,,,2,,1,,,,,7,,,,,,35,,,12,,,,,,,,,,2,,27,1,58
swa,cl1,sd,3,,,,,6,,,,,14,15,,,,,,,,,1,,,,,,5,,3,,13,,,,,,,,,,,4,,,,,,43,,,35,,,,,,,,1,,1,,26,,32
swa,cl2,ll,1,2,,,,,,,,,,70,,,,,,,,,,7,,,,,2,,,,8,,,,,,3,,,,,,,,,,,22,,,13,,,,,,3,,,1,8,,43,,12
swa,cl2,ll,2,,,,7,,,,,,,69,,,,,,1,,,,,,,,,,,20,,19,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4,,1,,15,1,23
swa,cl2,ll,3,,,,,,,,,,21,60,,,,,,,,,,,,,,,,,4,,8,,,,,,,,,,,2,,,,,,,,,12,,,,,,,,,,1,,18,,76
swa,cl2,re,1,,1,,,,,,,,12,21,,,,,,,,,,1,,,,,,,6,,11,,,,,,,,,,,,,,,,,10,,,1,1,,,,,1,,,,,,54,,47
swa,cl2,re,2,,,,,1,,,,,,66,,,,,,,1,,,,,,,,17,,46,,8,,,,1,,4,,,,,2,,,,,,2,,,8,,,,,,3,,,1,2,,40,,1
swa,cl2,re,3,1,,,,,,,,,2,22,,,,,,,,,,2,,,,,,,,,3,,,,,,2,,,,,,,,,,,19,,,9,,,,,,5,,,,7,,31,,61
swa,cl2,sd,1,3,,,,1,,,,,3,34,,,,,,8,,,,2,,,,,3,,4,,5,,,,,,2,,,,,,,,,,,33,,,3,,,,,,3,,,1,3,,43,,3
swa,cl2,sd,2,,,,,,,,,,,64,,,,,,,,,,,,,,,15,,40,,21,,,,,,6,,,,,3,,,,,,2,,,4,,,,,,,,,,,,40,,17
swa,cl2,sd,3,,,,,,,,,,,11,,,,,,,,,,,,,,,11,,17,,4,,,,,,3,,,,,,,,,,,3,,,5,,,,,,,,1,,2,,45,,61
swa,cl3,ll,1,,,,,,,,,,7,7,,,,,,,1,,30,6,,,,,,,11,,2,,,,,1,7,,5,,,14,,,,,,17,4,,15,,,,,,,,,1,6,,70,,12
swa,cl3,ll,2,,2,,,,,,,,12,12,,,,,,,,,,,,,,,6,,15,,23,,,,,,6,,,,,5,,,,,,,,,12,,,,,,,,,,2,,53,,3
swa,cl3,ll,3,,,,,1,,,,,,2,,,,1,,,,,,1,,,,,9,,61,8,20,,,,,,10,,,,,11,,,,,,12,1,,4,,,,,,,,,,,,53,,11
swa,cl3,re,1,,2,,,1,,,,,1,10,,,,,,,2,,1,,,,,,3,,53,3,16,,,,,,6,,,,,11,,,,,,23,2,,15,,,,,,2,,,1,4,,61,,15
swa,cl3,re,2,1,,,,,,,,,,1,,,,,,,,,,7,,,,,,2,13,,2,,,,1,,2,,,,,,,,,,,19,,,3,,,,,,2,,,,,,81,,
swa,cl3,re,3,,4,,,3,,,,,,1,,,,,,,,,,24,,,,,2,,26,,13,,,,,,,,,,,,,,,,,33,2,,8,,,,,,,,1,,,,43,,27
swa,cl3,sd,1,,,,,,,,,,,2,,,,,,,,,,22,,,,,2,,41,,3,,,,,,,,,,,2,,,,,,5,,,11,5,,,,,,1,,,,,77,,1
swa,cl3,sd,2,,,,,4,,,,,,,,,,,,,,,1,2,,,,,3,,50,,16,,,,,4,1,,,,,,,,,,,31,2,,16,,,,,,,,1,,5,,37,,2
swa,cl3,sd,3,,,,,,,,,,,2,,,,,,,,,,,,,,,,,50,,6,,,,,,3,,,,,1,,,,,,16,,,2,,,,,,,,,,,,45,,
swa,con,none,1,,,,,,,,,,,68,,,,,,,,,,,,,,,3,,,,15,,,,2,,,,,,,13,,,,,,1,,,1,1,,,,,,,2,,,,4,,31
swa,con,none,2,,,,,,,,,,85,12,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,2,,,,,,,,,7,,,,,,,,1,,,,1,,42
swa,con,none,3,,,,,,,,,,84,6,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,20,,,,,,,,,5,,,,,,,,1,,,,,,70
swa,graz,none,1,,,,,7,,,,,9,26,,,,,,,,,,1,,,,,,,6,,1,,,,,,,,1,,,6,,,,,,3,,,2,,,,,,,,,,,,12,,76
swa,graz,none,2,,,,,,,,,,,16,,,,2,,,,,,7,,,,,6,,35,2,1,,,,15,,,,,,,24,,,,,,1,1,,6,,,,,,,,,7,8,,51,,60
swa,graz,none,3,,,,,,,,,,4,26,,,,,,,,,,,,,,,1,,50,,3,,,,1,,1,,,,,57,,,,,,2,,,9,,,,,,,,,,1,,71,,21
ucsc,cl1,ll,1,,1,,,3,31,,,,,,,,,,,,,,,,,,,,27,5,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,2,,,,,,11
ucsc,cl1,ll,2,,1,,,4,29,,,,,1,,,,,,,,,,,,,,,39,20,,,13,,,,,,,,,,,4,,,,,,3,,,4,,,,,,,,,,,,,,26
ucsc,cl1,ll,3,,2,,,2,65,,,,,4,,,,,,,,,,,,,,,51,9,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,18
ucsc,cl1,re,1,,4,,,5,21,,,,,,,,,,,,,,,,,,,,28,12,,,,,,,,,,,,,,,,,,,10,41,,,6,,,,1,,,,2,1,,,2,,14
ucsc,cl1,re,2,,,,,6,49,,,,,,,,,,,,,,,,,,,,57,7,,,1,,,,,,,,,,,,,,,,,5,,,,,,,,,,,2,,,,,,2
ucsc,cl1,re,3,,5,,,7,43,,,,,1,,,,,,,,,,,,,,,20,13,,,,,,,,,,,,,,,,,,,,26,,,10,,,,,,,,2,,1,,,,27
ucsc,cl1,sd,1,,,,,1,23,,,,,,,,,,,,,,,,,,,,34,17,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,4,,,,,,6
ucsc,cl1,sd,2,,2,,,7,15,2,,,,,,,,,,,,,,,,,,,52,8,,2,,,,,,,,,,,,1,,,,,,7,,,6,,,,,,,,1,1,,,,,16
ucsc,cl1,sd,3,,2,,,3,39,,,,,,,,,,,,,,,,,,,,29,32,,,,,,,,,,,,,,,,,,,,27,,,8,,,,,,,,,5,,,,,35
ucsc,cl2,ll,1,,,,,,49,,,,,6,,,,,,,,,,,,,,,64,1,,,2,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,5,,,,,,16
ucsc,cl2,ll,2,,,,,2,45,,,,,,,,,,,,,,,,,,,,29,32,,,10,,,,,,,,,,,,,,,,,7,,,1,,,,,,,,2,,,,,,36
ucsc,cl2,ll,3,,,,,16,39,,,,,,,,,,,,,,,,,,,,45,8,,2,2,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,10
ucsc,cl2,re,1,,1,,,2,42,,,,,,,,,,,,,,,,,,,,44,12,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,11
ucsc,cl2,re,2,,1,,,7,46,,,,,,,,,,,,,,,,,,,,26,29,,,2,,,,,,,,,,,,,,,,,16,,,,,,,,,,,2,1,,,,,26
ucsc,cl2,re,3,,1,,,21,43,,,,,,,,,,,,,,,,,,,,41,15,,,2,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,8
ucsc,cl2,sd,1,,,,1,2,31,,,,,,,,,,,,,,,,,,,,40,11,,,,,,,,,,,,,,,,,,,,23,,,12,,,,,,,,1,1,,,,,62
ucsc,cl2,sd,2,,,,,18,23,,,,,1,,,,,,,,,,,,,,,45,6,,,3,,,,,,,,,,,2,,,,,,7,,,,,,,,,,,1,,,,,,40
ucsc,cl2,sd,3,,1,,,5,43,,,,,,,,,,,,,,,,,,,,32,4,,4,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,2,,,,,,5
ucsc,cl3,ll,1,,6,,,,32,,,,,,,,,,,,,,,,,,,,15,43,,,7,,,,,,,,,,,,,,,,,19,,,6,,,,,,,,4,,1,,,,35
ucsc,cl3,ll,2,,1,,,,39,,,,,,,,,,,,,,,,,,,,34,1,,,,,,,,,,,,,,,,,,,,33,,,3,,,,,,,,1,,,,,,11
ucsc,cl3,ll,3,,,,,10,17,,,,,,,,,,,,,,,,,,,,57,12,,1,13,,,,,,,,,,,,,,,,,7,,,7,,,,,,,,,,,,,,16
ucsc,cl3,re,1,,1,,,6,18,2,,,,,,,,,,,,,,,,,,,49,27,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,46
ucsc,cl3,re,2,,1,,,10,17,,,,,,,,,,,,,,,,,,,,15,39,,,1,,,,,,,,,,,,,,,,,22,,,,,,,,,,,4,1,1,,,,38
ucsc,cl3,re,3,,,,,8,30,,,,,,,,,,,,,,,,,,,,38,16,,1,12,,,,,,,,,,,,,,,,,5,,,1,,,,,,,,2,,,,,,32
ucsc,cl3,sd,1,,1,,,,30,,,,,,,,,,,,,,,,,,,,48,13,,,12,,,,,,,,,,,,,,,,,3,,,4,,,,1,,,,,,,,,,19
ucsc,cl3,sd,2,,,,,15,22,,,,,,,,,,,,,,,4,,,,,50,1,,1,8,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,20
ucsc,cl3,sd,3,,,,,25,33,,,,,,,,,,,,,,,,,,,,16,4,,,6,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,11
ucsc,con,none,1,,,,,1,50,,,,,1,,,,,,,,,,,,,,,32,,,1,10,,,,,,,,,,,1,,,,,,22,,,,,,,,,,,3,,,,,,1
ucsc,con,none,2,,3,,1,,45,,,,,,,,,,,,,,,,,,,,16,14,,12,19,,,,,,,,,,,5,,,,,,32,,,,,,,,,,,,,,,,,9
ucsc,con,none,3,,1,,,5,41,,,,,1,,,,,,,,,,,,,,,46,,1,,17,,,,,,,,,,,1,,,,,,2,,,5,,,,,,,,,,,,,,20
ucsc,graz,none,1,,,,,6,30,6,,,,15,,,,,,,,,,,,1,,,19,10,,,3,,,,,,,,,,,4,,,,,,14,,,,,,,,,,,2,2,,,,,47
ucsc,graz,none,2,,,,,11,11,6,,,,11,,,,,,,,,,,,,,,10,4,1,,30,,,,,,,,,,,18,,,,,,2,,,15,,,,,,,,2,,,,,,21
ucsc,graz,none,3,,,,,,61,5,,,,4,,,,,,,,1,,,,1,,,17,9,,8,3,,,,,,,,,,,4,,,,,,19,,,,,,,,,,,,,,,,,32
,,,,13,65,2,9,264,1152,21,0,10,278,993,4,,,3,14,9,28,1,45,1812,,2,,,1745,466,576,46,1169,,,,23,22,69,10,7,8,1,484,12,12,,,10,1234,13,,425,8,,35,3,3,19,1,87,97,113,,1674,10,3359
