SITE,FREQ,TREAT,REP,aircar,anaarv,anamin,avebar,bare,brach,brassp,brimaj,bromin,brocar,brodia,broter,calcil,camova,carex,cerglo,chamisonia,cirarv,cynech,dancal,dung,erobot,erocic,eromos,esccal,gerdis,horbra,hypgla,hyprad,junbuf,linbie,junocc,junpha,lolmul,madsat,moss,phaaqu,naspul,plalan,poaann,rumace,rumpul,scikoi,sonole,stenit,shearv,sisbel,thatch,triang,tridub,trisub,vicia,vulpsp,branig,brohor
UCSC,CL3,RE,1,,,,,15,24,,,,,,,,,,,,,,,,60,10,,,,,,,,,,,,,,,,,,1,,,,,,,4,,,,,2,,
UCSC,CL3,RE,2,,,,,15,17,,,,,,,,,,,,,,,,66,11,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,1,,
UCSC,CL3,RE,3,,,,,8,12,,,,,,,,,,,,,,,,69,6,,,1,,,,,,,,,,,,,,,1,,,,,,,10,,,,,8,,
UCSC,CL3,SD,1,,,,,39,11,,,,,,,,,,,,,,,,32,3,,,,,,,,,,,,,2,,2,,,3,,,,,,2,7,,,,,5,,
UCSC,CL3,SD,2,,,,,21,10,,,,,,,,,,,,,,,,43,2,,,,,,,,,,,,,,,19,,,1,,,,,,10,9,,,,,,,
UCSC,CL3,SD,3,,,,,28,20,,,,,,,,,,,,,,,,28,14,,,,,,,,,,,,,1,,2,,,,,,,,,4,7,,,,,10,,
UCSC,CON,none,1,,,,,8,43,,,,,4,,,,,,,,,,,36,,,8,,,,,,,,,,,,,,,,2,,,,,,,14,,,,,,,
UCSC,CON,none,2,,,,,7,29,,,,,13,,,,,,,,,,,65,2,,,,,,,,,,,,,,,,1,,,,,,,,,6,,,,,,,
UCSC,CON,none,3,,,,,,50,,,,,5,,,,,,,,,,,34,,,,6,,,,,,,,1,,,,,,,,,,,,,,17,,,,,2,,
UCSC,GRA,none,1,,,,,12,41,,,,,1,,,,,,,,,,2,47,1,,,2,,,,,,,,1,,,,,3,,,,,,,,,7,2,,,,10,,2
UCSC,GRA,none,2,,,,21,3,30,,,,,8,,,,,,,,,,,50,5,,1,1,,,,,,,,,,,,,4,,1,,,,,,,4,,,,,6,,
UCSC,GRA,none,3,,,,1,2,38,,,,,6,,,,,,,,,,,52,1,,,,,,,,,,,,,,,,1,,,,,,,,,16,,,,,7,,
UCSC,GRA,none,4,,1,,35,,47,,,,,2,,,,,,,,,,,35,1,,,7,,,,,,,,,,,,6,,,16,,,,,,,3,,,,,2,,
UCSC,GRA,none,5,,,,,1,65,,,,,1,,,,,,,,,,1,29,,,,3,,,,,,,,,,,,,,,,,,,,,,8,,,,,6,,1
UCSC,GRA,none,6,,1,,51,,6,,,,,8,,,,,,,,,,,48,3,,,7,,,,,,,,4,,,,,2,,1,,,,,,,2,1,,1,,17,,
