family,common family name,letter code_4,letter code_6,SCIENTIFIC NAME,GENUS,SPECIES,SUBSPECIES/VARIETY,SYNONYM,NewCode,COMMON NAME,sink,salt,grass,desert,juniper,oak,seep,form,soda,central,western,mountain,elkhorn,teblor,flowering months,flower color,native?,gkr prefer?,reference code,comments,newform
ONAGRACEAE,EVENING PRIMROSE FAMILY,clcy,clacyl,Clarkia cylindrica,Clarkia,cylindrica,,,clacyl,farewell to spring,,,C,C,C,,,h,,,C,,C,,07-May,p,n,,t,,nh
PORTULACACEAE,PURSLANE FAMILY,clgy,clagyp,Claytonia gypsophiloides,Claytonia,gypsophiloides,,,clagyp,,,,,x,,,,h,,,,,,x,05-Mar,p,n,,t,,nh
PORTULACACEAE,PURSLANE FAMILY,clpe,claper,Claytonia perfoliata (Montia p.),Claytonia,perfoliata,,Montia perfoliata,claper,miner's lettuce,,,,x,,,,h,,,,,,x,05-Feb,w,n,,t,,nh
ONAGRACEAE,EVENING PRIMROSE FAMILY,clpu,clapur,Clarkia purpurea ssp quadrivulnera,Clarkia,purpurea,quadrivulnera,,clapur,four-spot,,,,x,,,,h,,,,,,x,06-Apr,p,n,,t,,nh
ONAGRACEAE,EVENING PRIMROSE FAMILY,clte,clatem,Clarkia tembloriensis,Clarkia,tembloriensis,,,clatem,,,,,,,,,nh,,,,,,,,,n,,b,,nh
ONAGRACEAE,EVENING PRIMROSE FAMILY,clun,claung,Clarkia unguiculata,Clarkia,unguiculata,,,claung,,,,,,,,,nh,,,,,,,,,n,,b,,nh
PORTULACACEAE,PURSLANE FAMILY,clpapa,clpapa,Claytonia parviflora ssp parvifl,Claytonia,parviflora,parvifl,,clpapa,,,,,,,,,nh,,,,,,,,,n,,f,,nh
PORTULACACEAE,PURSLANE FAMILY,clpavi,clpavi,Claytonia parviflora ssp viridis,Claytonia,parviflora,viridis,,clpavi,,,,,,,,,nh,,,,,,,,,n,,"b,dk",,nh
SCROPHULARIACEAE,FIGWORT FAMILY,coba,colbar,Collinsia bartsiifolia vdavidsonii,Collinsia,bartsiifolia,davidsonii,,colbar,Chinese houses,,,,x,,,,h,,,,,,x,06-Mar,p,n,,h,,nh
SCROPHULARIACEAE,FIGWORT FAMILY,cohe,colhet,Collinsia heterophylla,Collinsia,heterophylla,,,colhet,,,,,,,,,nh,,,,,,,,,n,,cs,,nh
SCROPHULARIACEAE,FIGWORT FAMILY,cosp,colspa,Collinsia sparsiflora v collina,Collinsia,sparsiflora,collina,,colspa,,,,,,,,,nh,,,,,,,,,n,,b,,nh
CONVOLVULACEAE,MORNING-GLORY FAMILY,coar,conarv,Convolvulus arvensis,Convolvulus,arvensis,,,conarv,bindweed,,,x,,,,,h,,x,,,,,10-May,w,i,,t,,ih
ASTERACEAE,SUNFLOWER FAMILY,coca1,concan,Conyza canadensis,Conyza,canadensis,,,concan,,,,,,,,,nh,,,,,,,,,n,,"b, s",,nh
ASTERACEAE,SUNFLOWER FAMILY,coco,concou,Conyza coulteri,Conyza,coulteri,,,concou,horseweed,,,x,,,,,h,,x,,,,,11-Sep,,n,,t,,nh
APIACEAE,CARROT FAMILY,coma,conmac,Conium maculatum,Conium,maculatum,,,conmac,,,,,,,,,nh,,,,,,,,,i,,s,,nh
ASTERACEAE,SUNFLOWER FAMILY,cobi,corbig,Coreopsis bigelovii,Coreopsis,bigelovii,,,corbig,tickseed,,,x,,,,,h,,x,,,,,06-Apr,y,n,,t,,nh
ASTERACEAE,SUNFLOWER FAMILY,coca2,corcal,Coreopsis calliopsidea,Coreopsis,calliopsidea,,,corcal,tickseed,,,x,,,,,h,,x,,,,,05-Mar,y,n,,t,,nh
SCROPHULARIACEAE,FIGWORT FAMILY,cori,corrig,Cordylanthus rigidus,Cordylanthus,rigidus,,,corrig,bird's beak,,,,x,,,,h,,,,,,x,09-Aug,y,n,,t,,nh
CRASSULACEAE,STONECROP FAMILY,craq,craaqu,Crassula aquatica,Crassula,aquatica,,,craaqu,,,,,,,,,nh,,,,,,,,,n,,k,,nh
CRASSULACEAE,STONECROP FAMILY,crco,cracon,Crassula connata,Crassula,connata,,,cracon,pygmy weed,,,,x,,,,h,,,,,x,,05-Feb,,n,,c,,nh
CONVOLVULACEAE,MORNING-GLORY FAMILY,crtr,cretrux,Cressa truxillensis,Cressa,truxillensis,,,cretrux,alkali weed,x,x,,,,,,p,x,,,,,,10-May,w,n,,t,,np
BORAGINACEAE,BORAGE FAMILY,crba,crybar,Cryptantha barbigera,Cryptantha,barbigera,,,crybar,,,,x,,,,,h,,,,,x,,06-Apr,w,n,,h,,nh
BORAGINACEAE,BORAGE FAMILY,crci,crycir,Cryptantha circumscissa,Cryptantha,circumscissa,,,crycir,,,,,,,,,h,,,,,x,,,,n,,h,,nh
BORAGINACEAE,BORAGE FAMILY,crfl,cryfla,Cryptantha flaccida,Cryptantha,flaccida,,,cryfla,flaccid cryptantha,,,,x,,,,h,,,x,,,x,05-Jan,w,n,,h,,nh
BORAGINACEAE,BORAGE FAMILY,crin,cryint,Cryptantha intermedia,Cryptantha,intermedia,,,cryint,common cryptantha,,,,x,,,,h,,,x,,,x,07-Apr,w,n,,t,,nh
BORAGINACEAE,BORAGE FAMILY,crmu,crymur,Cryptantha muricata,Cryptantha,muricata,,,crymur,,,,,,,,,h,,,,x,,,,,n,,h,,nh
BORAGINACEAE,BORAGE FAMILY,crne,crynem,Cryptantha nemaclada,Cryptantha,nemaclada,,,crynem,,,,,,,,,h,,,,,,,,,n,,h,,nh
BORAGINACEAE,BORAGE FAMILY,crox,cryoxy,Cryptantha oxygona,Cryptantha,oxygona,,,cryoxy,,,,,,,,,h,,,,,,,,,n,,h,,nh
BORAGINACEAE,BORAGE FAMILY,crypt,crypta,Cryptantha sp.,Cryptantha,sp.,,,crypta,,,,,,,,,h,,,,,,,,,n,,,,nh
BORAGINACEAE,BORAGE FAMILY,crpt,crypte,Cryptantha pterocarya,Cryptantha,pterocarya,,,crypte,,,,,,,,,h,,,,,,,06-Mar,,n,,k,,nh
CUCURBITACEAE,GOURD FAMILY,cufo,cucfoe,Cucurbita foetidissima,Cucurbita,foetidissima,,,cucfoe,calabazilla,,,x,,,,,v,,x,,,,,08-Jun,y,n,,h,,nv
CUCURBITACEAE,GOURD FAMILY,cupa,cucpal,Cucurbita palmata,Cucurbita,palmata,,,cucpal,coyote melon,,,C,C,x,,,v,,x,C,,,x,09-Apr,y,n,,h,,nv
CUPRESSACEAE,CYPRESS FAMILY,cuar,cupari,Cupressus arizonicaro,Cupressus,arizonicaro,,,cupari,Arizona cypress,,,,,,,,t,,,,,,,,,i,,v,,it
CUPRESSACEAE,CYPRESS FAMILY,cuma,cupmac,Cupressus macrocarparo,Cupressus,macrocarparo,,,cupmac,Monterey cypress,,,,,,,,t,,,,,,,,,i,,v,,it
CUSCUTACEAE,DODDER FAMILY,cuca,cuscal,Cuscuta californica,Cuscuta,californica,,,cuscal,dodder. parasite,,,,x,,,,v,,,x,,,,03-Feb,o,n,,t,,nv
POACEAE (GRAMINEAE),GRASS FAMILY,cyda,cyndac,Cynodon dactylon,Cynodon,dactylon,,,cyndac,bermuda grass,,,x,,,,,pg,,x,,,,,08-Jun,,i,,t,,ipg
SOLANACEAE,NIGHTSHADE FAMILY,dawr,datwri,Datura wrightii,Datura,wrightii,,,datwri,jimson weed,,,C,,,,,h,,x,C,,x,,09-Mar,w,n,,t,,nh
APIACEAE,CARROT FAMILY,dapu,daupus,Daucus pusillus,Daucus,pusillus,,,daupus,,,,,,,,,nh,,,,,,,,,n,,"b,cs",,nh
RANUNCULACEAE,BUTTERCUP FAMILY,degy,delgyp,Delphinium gypsophilum ssp gypsophilum*,Delphinium,gypsophilum,gypsophilum,,delgyp,gypsum-loving larkspur. Uncommon,,,x,x,,,,p,,,x,,x,,05-Apr,w,n,,t,,np
RANUNCULACEAE,BUTTERCUP FAMILY,depa,delpar,Delphinium parryi,Delphinium,parryi,,,delpar,Parry's larkspur,,,,x,,,,p,,,x,,,,06-May,bp,n,,t,,np
RANUNCULACEAE,BUTTERCUP FAMILY,depahe,delpat,Delphinium patens ssp hepaticoidium,Delphinium,patens,hepaticoidium,,delpat,spreading larkspur,,,,,,,,p,,,,x,,,,,n,,h,,np
RANUNCULACEAE,BUTTERCUP FAMILY,delph,delphe,Delphenium sp.,Delphinium,sp.,,,delphe,,,,,,,,,p,,,,,,,,,n,,,,np
RANUNCULACEAE,BUTTERCUP FAMILY,dere,delrec,Delphinium recurvatum*,Delphinium,recurvatum,,,delrec,valley or recurved larkspur. rare,C,C,,,,,,p,C,,,,,,05-Mar,b,n,,t,,np
PAPAVERACEAE,POPPY FAMILY,deri,denrig,Dendromecon rigida,Dendromecon,rigida,,,denrig,,,,,,,,,ns,,,,,,,,,n,,cs,,ns
RANUNCULACEAE,BUTTERCUP FAMILY,depapu,depapu,Delphinium parryi ssp purpureum,Delphinium,parryi,purpureum,,depapu,,,,,,,,,np,,,,,,,,,n,,cs,,np
POACEAE (GRAMINEAE),GRASS FAMILY,deda,desdan,Deschampsia danthonioides,Deschampsia,danthonioides,,,desdan,annual hairgrass,C,C,,,,,,a,C,,,,,,07-Apr,,n,,t,,na
BRASSICACEAE,MUSTARD FAMILY,depi,despin,Descurainia pinnata,Descurainia,pinnata,,,despin,western tansy mustard,,,x,,,,,h,,x,,,,,07-Mar,y,n,,t,,nh
BRASSICACEAE,MUSTARD FAMILY,deso,dessop,Descurainia sophia,Descurainia,sophia,,,dessop,tansy mustard,,,x,,,,,h,,x,,,,,08-May,y,i,,t,,ih
LILIACEAE (AMARYLLIDACEAE),LILY FAMILY,dica,diccap,Dichelostemma capitatum,Dichelostemma,capitatum,,,diccap,blue dicks,,C,C,C,,,,p,,x,C,,x,,06-Feb,p,n,,t,,np
POACEAE (GRAMINEAE),GRASS FAMILY,disp,disspi,Distichlis spicata,Distichlis,spicata,,,disspi,salt grass,C,C,C,x,x,,,pg,C,C,C,,x,,07-Apr,,n,,t,,npg
PRIMULACEAE,PRIMROSE FAMILY,docl,dodcle,Dodecatheon clevelandii,Dodecatheon,clevelandii,,,dodcle,shooting star,,,,x,,,,h,,,x,,,,04-Feb,p,n,,h,,nh
BRASSICACEAE,MUSTARD FAMILY,drve,draver,Draba verna,Draba,verna,,,draver,,,,,,,,,ih,,,,,,,,,i,,"b,f",,ih
CRASSULACEAE,STONECROP FAMILY,ducy,dudcym,Dudleya cymosa,Dudleya,cymosa,,,dudcym,,,,,x,,,,p,,,x,,,,07-Apr,y,n,,h,,np
CRASSULACEAE,STONECROP FAMILY,dula,dudlan,Dudleya lanceolata,Dudleya,lanceolata,,,dudlan,,,,,,,,,np,,,,,,,,,n,,"b,dk",,np
ASTERACEAE,SUNFLOWER FAMILY,eael,easele,Eastwoodia elegans,Eastwoodia,elegans,,,easele,yellow mock aster,,,,C,C,,,s,,,C,,C,C,06-Jan,y,n,,t,,ns
POACEAE (GRAMINEAE),GRASS FAMILY,ecsp,echino,Echinochloa sp.,Echinochloa,sp.,,,echino,,,,,,,,,,,,,,,,,,,,"b,dk",,
CYPERACEAE,SEDGE FAMILY,elpa,elepar,Eleocharis parishii,Eleocharis,parishii,,,elepar,spikerush,,,,,,,x,p,,,x,,,,10-Apr,,n,,c,,np
POACEAE (GRAMINEAE),GRASS FAMILY,elel,elyely,Elymus elymoides ssp elymoides (Sitanion hystrix),Elymus,elymoides,elymoides,Sitanion hystrix,elyely,squirreltail,,,,x,,,,pg,,,,,,x,08-Jul,,n,,t,,npg
POACEAE (GRAMINEAE),GRASS FAMILY,elgl,elygla,Elymus glaucus,Elymus,glaucus,,,elygla,blue wildrye,,,,x,,,,pg,,,,,,x,08-Mar,,n,,t,,npg
HYDROPHYLLACEAE,WATERLEAF FAMILY,empe,emmpen,Emmenanthe penduliflora,Emmenanthe,penduliflora,,,emmpen,whispering bells,,,,x,,,,h,,,,,,x,08-Mar,w,n,,t,,nh
ASTERACEAE,SUNFLOWER FAMILY,enac,encact,Encelia actoni,Encelia,actoni,,,encact,encelia,,,,x,,,,s,,,,x,,,07-Feb,y,n,,k,,ns
EPHEDRACEAE,EPHEDRA FAMILY,epca,ephcal,Ephedra californica,Ephedra,californica,,,ephcal,desert tea,,,x,C,C,,,s,,,C,,C,,08-Apr,,n,,t,,ns
EPHEDRACEAE,EPHEDRA FAMILY,epvi,ephvir,Ephedra viridis,Ephedra,viridis,,,ephvir,green ephedra,,,,,x,x,,s,,,x,x,,,06-Apr,,n,,t,,ns
ONAGRACEAE,EVENING PRIMROSE FAMILY,epcaca,epican,Epilobium canum ssp canum (Zauschneria californica),Epilobium,canum,canum,Zauschneria californica,epican,California fuschia,,,,C,C,,,s,,,C,,,,11-Jun,r,n,,t,,ns
ONAGRACEAE,EVENING PRIMROSE FAMILY,eppy,epipyg,Epilobium pygmaeum (Boisduvalia glabella),Epilobium,pygmaeum,,Boisduvalia glabella,epipyg,,,x,,,,,,h,,x,,,,,08-May,p,n,,h,,nh
POLEMONIACEAE,PHLOC FAMILY,erdeau,erdeau,Eriastrum densifolium ssp austromontanum,Eriastrum,densifolium,austromontanum,,erdeau,,,,,x,,,,p,,,,x,,,08-Jun,b,n,,h,,np
POLEMONIACEAE,PHLOC FAMILY,erdeel,erdeel,Eriastrum densifolium ssp elongatum,Eriastrum,densifolium,elongatum,,erdeel,mesa phlox,,,,x,,,,p,,,,,,x,10-Jun,b,n,,h,,np
MALVACEAE,MALLOW FAMILY,erex,ereexi,Eremalche exilis,Eremalche,exilis,,,ereexi,mallow,,,,x,,,,h,,,,,,x,05-Mar,p,n,,h,,nh
MALVACEAE,MALLOW FAMILY,erpa,erepar,Eremalche parryi,Eremalche,parryi,,,erepar,Parry's mallow,,x,C,C,x,,,h,x,x,C,,C,,06-Mar,p,n,,t,,nh
EUPHORBIACEAE,SPURGE FAMILY,erse,ereset,Eremocarpus setigerus,Eremocarpus,setigerus,,,croset,turkey mullein,,C,C,C,x,,,h,C,C,C,,C,,09-Mar,w,n,,t,,nh
POLYGONACEAE,BUCKWHEAT FAMILY,eran,eriang,Eriogonum angulosum,Eriogonum,angulosum,,,eriang,angled buckwheat,,x,C,C,C,C,,h,,C,C,,C,,07-May,w,n,,t,,nh
POLYGONACEAE,BUCKWHEAT FAMILY,erba,eribai,Eriogonum baileyi,Eriogonum,baileyi,,,eribai,Bailey's buckwheat,,,,x,,,,h,,,,x,,,10-Jul,w,n,,k,,nh
POLYGONACEAE,BUCKWHEAT FAMILY,erci2,ericit,Eriogonum cithariforme,Eriogonum,cithariforme,,,ericit,wild buckwheat,,,,,,,,h,,,,x,,,,,n,,h,,nh
ASTERACEAE,SUNFLOWER FAMILY,erco2,ericon,Eriophyllum confertifolium,Eriophyllum,confertifolium,,,ericon,golden yarrow,,,,C,C,x,,s,,,C,C,x,C,07-Feb,y,n,,t,,ns
POLYGONACEAE,BUCKWHEAT FAMILY,erco1,ericov,Eriogonum covilleanum,Eriogonum,covilleanum,,,ericov,Coville's buckwheat,,,,x,,,,h,,,,x,,,05-Jan,w,n,,h,,nh
ASTERACEAE,SUNFLOWER FAMILY,ercu,ericun,Ericameria cuneata,Ericameria,cuneata,,,ericun,wedge-leafed goldenbush,,,,x,x,,,s,,,x,,,x,01-Oct,y,n,,h,,ns
POLYGONACEAE,BUCKWHEAT FAMILY,erda,eridav,Eriogonum davidsonii,Eriogonum,davidsonii,,,eridav,Davidson's buckwheat,,,,x,,,,h,,,,x,,,09-Jun,w,n,,k,,nh
POLEMONIACEAE,PHLOC FAMILY,erdi,eridif,Eriastrum diffusum,Eriastrum,diffusum,,,eridif,,,,,x,,,,h,,,,x,,,05-Mar,b,n,,h,,nh
POLYGONACEAE,BUCKWHEAT FAMILY,erel,erielo,Eriogonum elongatum v elongatum,Eriogonum,elongatum,elongatum,,erielo,long-stemmed buckwheat,,,x,C,C,C,,p,,,C,,C,C,many,w,n,,t,,np
POLEMONIACEAE,PHLOC FAMILY,erer,eriere,Eriastrum eremicum ss peremicum,Eriastrum,eremicum,peremicum,,eriere,desert eriastrum,,,x,,,,,h,,x,,,,,06-Apr,b,n,,h,,nh
POLYGONACEAE,BUCKWHEAT FAMILY,erfa,erifas,Eriogonum fasciculatum v polifolium,Eriogonum,fasciculatum,polifolium,,erifas,California buckwheat,,,x,C,C,C,,s,,,C,,C,C,10-Apr,p,n,,t,,ns
ASTERACEAE,SUNFLOWER FAMILY,erfo,erifol,Erigeron foliosus,Erigeron,foliosus,,,erifol,,,,,,,,,np,,,,,,,,,n,,"b,dk",,np
POLYGONACEAE,BUCKWHEAT FAMILY,ergo,erigos,Eriogonum gossypinum*,Eriogonum,gossypinum,,,erigos,cottony buckwheat. uncommon,,,,C,,,,h,,,x,,C,,09-Apr,p,n,,h,,nh
POLYGONACEAE,BUCKWHEAT FAMILY,ergr,erigra,Eriogonum gracillimum,Eriogonum,gracillimum,,,erigra,slender buckwheat,,,,x,,,,h,,,,x,,,10-Jul,p,n,,h,,nh
POLYGONACEAE,BUCKWHEAT FAMILY,erhe,erihee,Eriogonum heermanii,Eriogonum,heermanii,,,erihee,Heerman's buckwheat,,,,,x,,,s,,,,x,,,09-Jul,y,n,,h,,ns
POLEMONIACEAE,PHLOC FAMILY,erho,erihoo,Eriastrum hooveri*,Eriastrum,hooveri,,,erihoo,Hoover's eriastrum. Listed threatened (U.S.),,,,x,,,,h,,,,,x,,06-Mar,w,n,,h,,nh
ASTERACEAE,SUNFLOWER FAMILY,erli,erilin,Ericameria linearifolia,Ericameria,linearifolia,,,erilin,interior goldenbush (linear-leaved g.),,,,C,C,C,,s,,,C,,C,,06-Mar,y,n,,t,,ns
POLYGONACEAE,BUCKWHEAT FAMILY,erma1,erimac,Eriogonum maculatum,Eriogonum,maculatum,,,erimac,spotted buckwheat,,,,x,,,,h,,,,,,x,11-May,p,n,,t,,nh
ASTERACEAE,SUNFLOWER FAMILY,ermu,erimul,Eriophyllum multicaule,Eriophyllum,multicaule,,,erimul,,,,,,,,,nh,,,,,,,,,n,,"b,dk",,nh
POLYGONACEAE,BUCKWHEAT FAMILY,ernu,erinud,Eriogonum nudum v indictum,Eriogonum,nudum,indictum,,erinud,naked-stemmed buckwheat,,,,x,,,,h,,,x,,,,12-Jun,y,n,,t,,nh
,,eriog,eriogo,Eriogonum sp.,Eriogonum,sp.,,,eriogo,,,,,,,,,h,,,,,,,,,n,,,,nh
POLYGONACEAE,BUCKWHEAT FAMILY,eror,eriord,Eriogonum ordii,Eriogonum,ordii,,,eriord,Ord's buckwheat,,,,x,,,,h,,,,,,x,10-May,p,n,,h,,nh
POLEMONIACEAE,PHLOC FAMILY,erpl,eriplu,Eriastrum pluriflorum,Eriastrum,pluriflorum,,,eriplu,many-flowered eriastrum,,C,,C,,,,h,C,,C,,C,C,07-May,b,n,,t,,nh
ASTERACEAE,SUNFLOWER FAMILY,erpr,eripri,Eriophyllum pringlei,Eriophyllum,pringlei,,,eripri,woolly sunflower,,,,,,,,h,,,,,,x,,,n,,h,,nh
POLYGONACEAE,BUCKWHEAT FAMILY,erro,eriros,Eriogonum roseum,Eriogonum,roseum,,,eriros,,,,,,,,,nh,,,,,,,,,n,,h,,nh
POLYGONACEAE,BUCKWHEAT FAMILY,erte,eritem,Eriogonum temblorense*,Eriogonum,temblorense,,,eritem,temblor buckwheat,,,,x,,,,a,,,,,x,,05-Apr,w,n,,l,,na
POLYGONACEAE,BUCKWHEAT FAMILY,ertr,eritri,Eriogonum trichopes,Eriogonum,trichopes,,,eritri,yellow trumpet,,,C,C,C,x,,h,C,x,C,,C,,08-Jun,y,n,,h,,nh
POLYGONACEAE,BUCKWHEAT FAMILY,ertw,eritwi,Eriogonum twisselmannii,Eriogonum,twisselmannii,,,eritwi,,,,,,,,,np,,,,,,,,,n,,l,,np
POLYGONACEAE,BUCKWHEAT FAMILY,ervi,erivir,Eriogonum viridescens,Eriogonum,viridescens,,,erivir,green buckwheat,,,,x,,,,h,,,,,,x,11-Jul,p,n,,t,,nh
GERANIACEAE,GERANIUM FAMILY,erbo,erobot,Erodium botrys,Erodium,botrys,,,erobot,long-beaked filaree,,,x,,,,,h,,x,,,,,05-Mar,p,i,,c,,ih
GERANIACEAE,GERANIUM FAMILY,erbr,erobra,Erodium brachycarpum,Erodium,brachycarpum,,,erobra,,,,,,,,,ih,,,,,,,,,i,,"b,dk",,ih
GERANIACEAE,GERANIUM FAMILY,erci,erocic,Erodium cicutarium,Erodium,cicutarium,,,erocic,red-stemmed filaree,C,C,C,C,C,C,,h,C,C,C,C,C,C,05-Feb,p,i,y,t,,ih
GERANIACEAE,GERANIUM FAMILY,erma2,eromac,Erodium macrophylum,Erodium,macrophylum,,,eromac,round-leaved filaree,,,x,,,,,h,,x,,,,,05-Mar,w,n,,t,,nh
GERANIACEAE,GERANIUM FAMILY,ermo,eromos,Erodium moschatum,Erodium,moschatum,,,eromos,filaree,,,,,,,,h,,,,,,,05-Feb,,i,,s,,ih
POLYGONACEAE,BUCKWHEAT FAMILY,ertrho,ertrho,Eriogonum trichopes v. hooveri,Eriogonum,trichopes,hooveri,,ertrho,desert trumpet,,,C,C,C,x,,h,x,C,C,,C,,many,y,n,,h,,nh
BRASSICACEAE,MUSTARD FAMILY,erca,erycap,Erysimum capitatum,Erysimum,capitatum,,,erycap,western wallflower,,,x,,,,,h,,x,,,,,07-Mar,o,n,,c,,nh
APIACEAE,CARROT FAMILY,ersp,eryspi,Eryngium spinosepalum*,Eryngium,spinosepalum,,,eryspi,spiny-sepaled button-celery. Rare,,,x,,,,,h,x,,,,,,08-Jun,w,n,,h,,nh
PAPAVERACEAE,POPPY FAMILY,esca,esccal,Eschscholzia californica,Eschscholzia,californica,,,esccal,California poppy,,,C,,,,,h,,C,,,,,07-Feb,o,n,,t,,nh
PAPAVERACEAE,POPPY FAMILY,else,esclem,Eschscholzia lemmonii,Eschscholzia,lemmonii,,,esclem,Lemmon's poppy,,,x,,,,,h,,,,,x,,05-Apr,y,n,,t,,nh
MYRTACEAE,MYRTLE FAMILY,eupo,eucpol,Eucalyptus polyanthemosro,Eucalyptus,polyanthemosro,,,eucpol,silver dollar gum,,,,,,,,t,,,,,,,,,i,,v,,it
MYRTACEAE,MYRTLE FAMILY,eute,eucter,Eucalyptus tereticornisro,Eucalyptus,tereticornisro,,,eucter,red gum,,,,,,,,t,,,,,,,,,i,,v,,it
ASTERACEAE,SUNFLOWER FAMILY,fica,filcal,Filago californica,Filago,californica,,,filcal,,,,,,,,,nh,,,,,,,,,n,,s,,nh
ASTERACEAE,SUNFLOWER FAMILY,figa,filgal,Filago gallica,Filago,gallica,,,filgal,herbia impia,,,,,,,,h,,,,,,,06-Apr,,i,,n,,ih
OLEACEAE,OLIVE FAMILY,fopu,forpub,Forestiera pubescensro,Forestiera,pubescensro,,,forpub,desert olive,,,,,,,,s,,,,,,,04-Mar,,n,,,,ns
FRANKENIACEAE,FRANKENIA FAMILY,frsa,frasal,Frankenia salina (F. grandiflora campestris),Frankenia,salina,,Frankenia grandiflora campestris,frasal,alkali heath,C,C,,,,,,s,C,,,,,,11-May,p,n,,t,,ns
LILIACEAE (AMARYLLIDACEAE),LILY FAMILY,frag,friagr,Fritillaria agrestis*,Fritillaria,agrestis,,,friagr,stinkbells,,,,x,,,,p,,,,,,x,04-Mar,n,n,,h,,np
LILIACEAE (AMARYLLIDACEAE),LILY FAMILY,frbi,fribif,Fritillaria biflora,Fritillaria,biflora,,,fribif,chocolate lily,,,,x,,,,p,,,x,,,,06-Feb,n,n,,c,,np
RUBIACEAE,MADDER FAMILY,gaan,galand,Galium andrewsii,Galium,andrewsii,,,galand,phlox-leaved bedstraw,,,,,,x,,p,,,x,,,x,06-Apr,y,n,,h,,np
RUBIACEAE,MADDER FAMILY,gaanan,galang,Galium angustifolium ssp angustifolium,Galium,angustifolium,angustifolium,,galang,,,,,,,,,np,,,,,,,,,n,,"b,dk",,np
RUBIACEAE,MADDER FAMILY,gaap,galapa,Galium aparine,Galium,aparine,,,galapa,,,,,,,,,nh,,,,,,,,,n,,"b,dk",,nh
GARRYACEAE,SILK TASSEL FAMILY,gafl,garfla,Garrya flavescens,Garrya,flavescens,,,garfla,silk tassel bush,,,,,,x,,s,,,,x,,,04-Feb,,n,,h,,ns
POACEAE (GRAMINEAE),GRASS FAMILY,gave,gasven,Gastridium ventricosum,Gastridium,ventricosum,,,gasven,,,,,,,,,ia,,,,,,,,,i,,cs,,ia
POLEMONIACEAE,PHLOC FAMILY,giau,gilaus,Gilia austro-occidentalis,Gilia,austro-occidentalis,,,gilaus,,,,,x,,,,h,,,,x,,,06-Mar,p,n,,h,,nh
POLEMONIACEAE,PHLOC FAMILY,gibr,gilbre,Gilia brecciarum ssp jacens,Gilia,brecciarum,jacens,,gilbre,,,,,,,,,h,,,,,x,,,,n,,h,,nh
POLEMONIACEAE,PHLOC FAMILY,gica,gilcap,Gilia capitata,Gilia,capitata,,,gilcap,,,,,,,,,nh,,,,,,,,,n,,"b,dk",,nh
POLEMONIACEAE,PHLOC FAMILY,gicl,gilcli,Gilia clivorum,Gilia,clivorum,,,gilcli,,,,,x,,,,h,,,,,,x,05-Mar,y,n,,t,,nh
POLEMONIACEAE,PHLOC FAMILY,gilia,gilia,Gilia sp.,Gilia,sp.,,,gilia,,,,,,,,,h,,,,,,,,,n,,,,nh
POLEMONIACEAE,PHLOC FAMILY,gila,gillat,Gilia latiflora,Gilia,latiflora,,,gillat,,,,,,,,,nh,,,,,,,,,n,,h,,nh
POLEMONIACEAE,PHLOC FAMILY,gima,gilmal,Gilia malior,Gilia,malior,,,gilmal,,,,,x,,,,h,,,,,,x,04-Mar,p,n,,h,,nh
POLEMONIACEAE,PHLOC FAMILY,gimi,gilmin,Gilia minor,Gilia,minor,,,gilmin,common gilia,,,,x,,,,h,,,,,,x,04-Mar,p,n,,t,,nh
POLEMONIACEAE,PHLOC FAMILY,gitr,giltri,Gilia tricolor,Gilia,tricolor,,,giltri,bird's-eyes,,,C,C,x,,,h,,,C,,C,C,05-Mar,y,n,,t,,nh
ASTERACEAE,SUNFLOWER FAMILY,gnca,gnacal,Gnaphalium californicum,Gnaphalium,californicum,,,gnacal,,,,,,,,,"nh,np",,,,,,,,,n,,b,,"nh,np"
ASTERACEAE,SUNFLOWER FAMILY,gncabe,gnacan,Gnaphalium canescens ssp beneolens,Gnaphalium,canescens,beneolens,,gnacan,,,,,,,,,np,,,,,,,,,n,,b,,np
ASTERACEAE,SUNFLOWER FAMILY,gnlu,gnalut,Gnaphalium luteo-album,Gnaphalium,luteo-album,,,gnalut,everlasting,,,,,,,x,h,,,,,,,10-Mar,w,i,,k,,ih
ASTERACEAE,SUNFLOWER FAMILY,gnpa,gnapal,Gnaphalium palustre,Gnaphalium,palustre,,,gnapal,,,,,,,,,nh,,,,,,,,,n,,"b,dk",,nh
ASTERACEAE,SUNFLOWER FAMILY,gnst,gnastr,Gnaphalium stramineum,Gnaphalium,stramineum,,,gnastr,,,,,,,,,np,,,,,,,,,n,,b,,np
CHENOPODIACEAE,GOOSEFOOT FAMILY,grsp,graspi,Grayia spinosa,Grayia,spinosa,,,graspi,hop-sage,,,,x,,,,s,,,,,,x,04-Jan,,n,,h,,ns
ASTERACEAE,SUNFLOWER FAMILY,grca,gricam,Grindelia camporum vcamporum,Grindelia,camporum,camporum,,gricam,,,,,,,,,np,,,,,,,,,n,,b,,np
BRASSICACEAE,MUSTARD FAMILY,gula,guilas,Guillenia lasiophylla (Thelypodium l.),Guillenia,lasiophylla,,Thelypodium lasiophylla,caulas,California mustard,,,,x,,,,h,,,,,,x,06-Feb,w,n,,t,,nh
