g= grass; f= forb,,,,,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,,,,,
elk,cl2,ll,3,4,1,,,,,,,,1,,,,6,,,,,2,,,,,,,,,1,1,,,,,,1,4,,,,,13,,,,,,,1,,,,,9,,,,,40
elk,cl2,re,1,1,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,3,,,1,,,,,1,,,,,30
elk,cl2,re,1,2,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,1,,2,,,,,3,,,,,,4,,,,,,9,,,,,,1,,,,1,24
elk,cl2,re,1,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,6,,,,,,4,,,,,,8,1,,,,21
elk,cl2,re,1,4,,,,,1,,,,2,,,,1,,,,,,,,3,,,,,,,,,,,,,4,,,,,,2,,,,,,,,,,,,1,,,,,14
elk,cl2,re,2,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,2,,,,,,,2,,,,,,15,,,,,,,1,,,,,17,1,,,,40
elk,cl2,re,2,2,,,,,1,,,,1,,,,,,,,1,2,,,2,,,,,,,,1,,,,,1,,,,,,8,,,,,,,1,,,,,13,3,,,,34
elk,cl2,re,2,3,,,,,,,,,2,,,,4,,,,,1,,,,,,,,,5,,,,,,,2,,,,,,2,,,,,,,,,,,,6,,,,1,23
elk,cl2,re,2,4,1,,,,2,,,,4,,,,4,,,,,,,,,,,,,,3,,1,,,,,2,,,,,,2,,,,,,,,,,,,7,,,,,26
elk,cl2,re,3,1,,,,,,,,,4,,,,1,,,,,5,,,,,,,,,2,,1,,,,,,,2,,,,1,,,,,,1,,,,,,8,,,,2,27
elk,cl2,re,3,2,,,,,,,,,8,,,,1,,,,,2,,,,,,,,,,,3,,,,,,,4,,,,1,,,,,,,,,,,,17,,,,,36
elk,cl2,re,3,3,,,,,,,,,17,,,,1,,,,1,3,,,,,,,,,,,1,,,,,,,2,,,,8,,,,,,,,,,,,4,,,,,37
elk,cl2,re,3,4,,,,,,,,,4,,,,1,,,,,6,,,,,,,,,,,2,,,,,,,3,,,,6,,,,,,,,,,,,1,,,,1,24
elk,cl2,sd,1,1,,,,,,,,,11,,,,2,,,,,3,,,,,,,,,1,,1,,,,,1,,,,,,2,,,,,,,,,,,,14,,,,,35
elk,cl2,sd,1,2,,,,,,,,,7,,,,1,,,,,,,,,,,,,,1,1,1,,,,,2,,,,,,1,,,,,,,2,,,,,8,,,,,24
elk,cl2,sd,1,3,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,4,,,,,,,,,,,,4,,,,,28
elk,cl2,sd,1,4,1,,,,,,,,1,,,,2,,,,,,,,,,,,,,,1,4,,,,,2,,,,,,2,,,,,,,,,,,,1,,,,,14
elk,cl2,sd,2,1,,,,,1,,,,3,,,,1,,,,2,3,,,,,,,,,6,1,2,,,,,,3,,,,,8,,,,1,,,2,,,,,11,1,,,,45
elk,cl2,sd,2,2,,,,,,,,,,,,,2,,,,5,1,,,,,,,,,6,,3,,,,,4,,,,,,8,,,,,,,2,,,,,8,,,,1,40
elk,cl2,sd,2,3,,,,,,,,,3,,,,5,,,,6,1,,,,,,,,,7,1,,,,,,,,,,,,11,,,,,,,,,,,,4,,,,,38
elk,cl2,sd,2,4,,,,,1,,,,1,,,,6,,,,2,,,,,,,,,,1,,,,,,,1,,,,,,8,,,,1,,,1,,,,,8,,,,,30
elk,cl2,sd,3,1,,,,1,,,,,1,,,,2,,1,,,2,,,,,,,,,,2,2,,,,,,,1,,,,9,,,,,,,1,,,,,2,,,,1,25
elk,cl2,sd,3,2,,,,,,,,,3,1,,,,,1,,,4,,,,,,,,,2,,6,,,,,,,1,,,,16,,,,,,,,,,,,5,,,,,39
elk,cl2,sd,3,3,,,,,,,,,11,,,,,,,,,4,,,,,,,,,,,2,,,,,,,2,,,,13,,,,,,,,,,,,1,2,,,,35
elk,cl2,sd,3,4,,,,,,,,,13,,,,3,,,,,5,,,1,,,,,,,,1,,,,,,,2,,,,2,,,,,,,1,,,,,4,,,,,32
elk,cl3,ll,1,1,1,,,,,,,,3,,,,1,,1,,2,1,,,,,,,,,1,,3,,,,,1,,,,,,2,,,,12,,,,,,,,,,,,1,29
elk,cl3,ll,1,2,1,,,2,,,,,7,,,,1,,1,,1,1,,,,,,,,,3,2,,,,,,5,2,,,,,13,,,,8,,,,,,,,,1,,,,48
elk,cl3,ll,1,3,,,,,,,,,4,,,,2,,,,,,,,,,,,,,6,,,,,,,2,,,,,,13,,,,7,,,,,,,,6,1,,,,41
elk,cl3,ll,1,4,,,,,,,,,2,,,,4,,,,1,4,,,,,,,,,1,5,2,,,,,3,,,,,,16,,,,12,,,,,,,,4,,,,,54
elk,cl3,ll,2,1,,,,,1,,,,4,,,,4,,,,1,1,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,2,,,,,15,,,,,32
elk,cl3,ll,2,2,,,,,,,,,2,,,,3,,,,8,1,,,,,,,,,,1,4,,,,,1,,,,,,4,,,,,,,1,,,,,4,1,,,,30
elk,cl3,ll,2,3,,,,,1,,,,2,,,,2,,1,,2,,,,,,,,,,,1,,,,,,2,,,,,,14,,,,,,,1,,,,,6,,,,,32
elk,cl3,ll,2,4,,,,,,,,,6,,,,1,,1,,5,1,,,,,,,,,1,,,,,,,4,,,,,,7,,,,,,,1,,,,,4,,,,,31
elk,cl3,ll,3,1,,,,,1,,,,11,,,,2,,,,8,,,,,,,,,,1,,3,,,,,7,,,,,,2,,,,,,,,,,,1,3,,,,,39
elk,cl3,ll,3,2,,,,,,,,,1,,,,,,,,1,2,,,,,,,,,,,6,,,,,,,6,,,,8,,,,,,,1,,,,1,2,,,,,28
elk,cl3,ll,3,3,,,,,,,,,8,,,,2,,,,2,1,,,,,,,,,1,2,3,,,,,,,4,,,,12,,,,,,,,,,,,1,,,,,36
elk,cl3,ll,3,4,,,,,,,,,5,,,,2,,1,,,,,,,,,,,,,1,2,,,,,,,8,,,,11,,,,,,,,,,,,,,,,,30
elk,cl3,re,1,1,,,,,,,,,1,,,,2,,,,,,,,1,,,,,,1,1,4,,,,,7,,,,,,12,,,,5,3,,2,,,,,14,,,,,53
elk,cl3,re,1,2,1,,,,,,,,2,,,,,,,,1,1,,,,,,,,,,4,5,,,,,4,,,,,,15,,,,3,1,,1,,,,,9,1,,,,48
elk,cl3,re,1,3,1,,,,,,,,6,,,,1,,,,1,5,,,,,,,,,4,3,1,,,,,8,,,,,,13,,,,11,,,1,,,,,5,,,,,60
elk,cl3,re,1,4,,,,,,,,,4,,,,6,,,,3,3,,,1,,,,,,2,2,1,,,,,1,,,,,,19,,,,,,,1,,,,,2,,,,,45
elk,cl3,re,2,1,,,,,,,,,8,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,6,,,,,,2,,,6,,,2,1,,,,28
elk,cl3,re,2,2,,,,1,,,,,13,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,13,,,,,,,,,,,,1,,,,,30
elk,cl3,re,2,3,1,,,,,,,,5,,,,1,,,,,3,,,,,,,,,7,1,,,,,,2,,,,,,9,,,,,,,1,,,,,5,,,,,35
elk,cl3,re,2,4,,,,,,,,,3,,,,1,,,,1,,,,,,,,,,,6,1,,,,,2,,,,,,13,,,,,,,,,,,,3,,,,1,31
elk,cl3,re,3,1,,,,,,,,,9,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,7,6,,,,28
elk,cl3,re,3,2,,,,,2,,,,4,,,,,,,,,1,,,,,,,,,4,1,,,,,,2,1,,,,,1,,,,2,,,,,,,,6,2,,,,26
elk,cl3,re,3,3,,,,,,,,,6,,,,1,,,,,1,,,,,,,,,1,1,3,,,,,2,,,,,,13,,,,7,,,,,,,,4,,,,,39
elk,cl3,re,3,4,,,,,,,,,6,,,,1,,,,,1,,,,,,,,,1,,2,,,,,5,1,,,,,6,,,,2,,,4,,,,,15,,,,,44
elk,cl3,sd,1,1,,,,,,,,,7,,,,2,,,,,3,,,2,,,,,,,,,,,,,3,,,,,,7,,,,2,,,2,,,,,7,1,,,,36
elk,cl3,sd,1,2,,,,,,,,,8,,,,3,,,,,,,,9,,,,,,,,,,,,,1,,,,,,8,,,,,,,5,,,,,,1,,,,35
elk,cl3,sd,1,3,,,,,,,,,21,,,,2,,,,,,,,5,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,,,3,,,,,35
elk,cl3,sd,1,4,,,,,,,,,16,,,,2,,,,,3,,,1,,,,,,2,,,,,,,1,,,,,,8,,,,,,,,,,,,2,1,,,,36
elk,cl3,sd,2,1,,,,,,,,,2,,,,2,,,,,1,,,1,,,,,,1,2,2,,,,,6,,,,,,16,,,,2,,,1,,,,,8,1,,,,45
elk,cl3,sd,2,2,,,,,1,,,,3,,,,5,,,,,,,,,,,,,,,,,,,,,6,,,,,,18,,,,5,,,,,,,,3,,,,,41
elk,cl3,sd,2,3,,,,,,,,,4,,,,4,,,,,6,,,1,,,,,,,1,,,,,,7,,,,,,9,,,,2,,3,,,,,,7,,,,,44
elk,cl3,sd,2,4,,,,,,,,,1,,,,,,,,,2,,,1,,,,,,,3,3,,,,,2,,,,,,19,,,,2,,1,,,,,,6,1,,,,41
elk,cl3,sd,3,1,,,,,,,,,6,,,,,,,,,4,,,,,,,,,,,1,,,,,3,,,,1,,12,,,,,,,,,,,,1,,,,,28
elk,cl3,sd,3,2,,,,,,,,,6,,,,1,,,,,3,,,,,,,,,1,,1,,,,,5,,,,,,11,,,,,,,1,,,,,2,,,,,31
elk,cl3,sd,3,3,,,,,1,,,,6,,,,3,,,,,2,,,,,,,,,1,,1,,,,,4,,,,,,9,,,,,,,,,,,,,,,,2,29
elk,cl3,sd,3,4,,,,,,,,,5,,,,2,,,,,3,,,,,,,,,1,,,,,,,3,,,,,,11,,,,,,,2,,,,,3,,,,,30
elk,con,no,1,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,4,,,,,,,,,,,2,,,,,,,3,,,,,1,,,,1,14
elk,con,no,1,2,,,,,,,,,2,,,,1,,,,,,,,,,,,,,3,,,,,,,1,,,,,,7,,,,,,,9,,,,2,15,,,,,40
elk,con,no,1,3,,,,,,,,,4,,,,4,,,,,,,,,,,,,,,,2,,,,,2,,,,,,6,,,,,1,,6,,,,,21,,,,1,47
elk,con,no,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,13,,,,,1,,2,,,,1,16,,,,1,40
elk,con,no,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
elk,con,no,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
elk,con,no,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
elk,con,no,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
elk,con,no,3,1,,,,1,,,,,,,,,2,,,,,2,,,,,,,,,,,1,,,,,,,,,,,16,,,,,,,,,,,,19,3,,,,44
elk,con,no,3,2,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,3,,,,,16,3,,,1,39
elk,con,no,3,3,,,,1,,,,,1,,,,3,,,,,1,,,3,,,,,,,,,,,,,,,,,,,2,,,,,,,5,,,,,13,5,,,1,35
elk,con,no,3,4,,,,,,,,,3,,,,6,,,,,1,,,1,,,,,,,2,2,,,,,,,,,,,11,,,,,,,8,,,,,14,1,,,1,50
elk,gra,no,1,1,,,,,,,,,2,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,5,,,,,32
elk,gra,no,1,2,,,,,,,,,12,3,,,1,,,,,,,,2,,,,,,,,2,,,,,,,,,,3,,,,,,,,1,,,,,14,2,,,,40
elk,gra,no,1,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,1,,,,,14,4,,,,28
elk,gra,no,1,4,,,,,2,,,,3,,,,,,,,,3,,,,,,,,,,1,4,,,,,1,,,,,,15,,,,8,,,,,,,,15,1,,,,53
elk,gra,no,2,1,,,,,,,,,16,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,13,1,,,,34
elk,gra,no,2,2,,,,,,,,,9,,,,,,,,,2,,,,,,,,,,,4,,,,,,,,,,,12,,,,,,,,,,,,1,2,,,,30
elk,gra,no,2,3,,,,,,,,,8,,,,,,,,,6,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,18,,,,1,36
elk,gra,no,2,4,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,1,,1,,,,,,,,,,,,19,,,,,37
elk,gra,no,3,1,,,,,,,,,6,,,,1,,,,,1,,,,,,,,,1,,3,,,,,,,,,,,1,,,,,,,,,,,,17,,,,,30
elk,gra,no,3,2,,,,,,,,,8,,,,,,,,,1,,,,,,,,,,,8,,,,,,,,,,,11,,,,,,,,,,,,8,1,,,,37
elk,gra,no,3,3,,,,,,,,,11,,,,,,,,,1,,,1,,,,,,2,,1,,,,,,,,,1,,9,,,,,,,1,,,,,9,,,,,36
elk,gra,no,3,4,,,,,,,,,7,,,,8,,,,,,,,1,,,,,,2,,1,,,,,,,,,2,,3,,,,,,,8,,,,,9,,,,,41
swan,cl1,ll,1,1,,,,,,,,,,,,,1,,,,,,,,21,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,25,,,,,62
swan,cl1,ll,1,2,,,,,,,,,,,,,2,,,,,,,,13,,,,,,,,,,,,,,,,,18,,,,,,,,,2,,,,,22,,,,,57
swan,cl1,ll,1,3,,,,,,,,,,,,,2,,,,,3,,,1,,,,,,,,,,,,,,,,1,18,,,,,,,,,1,,,,,23,1,,,,50
swan,cl1,ll,1,4,,,,,,,,,,,,,6,,,,,11,,,5,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,16,,,,,52
swan,cl1,ll,2,1,,,,,,,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,24,,,,,34
swan,cl1,ll,2,2,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,4,,,,,21,,,,,37
swan,cl1,ll,2,3,,,,,,,,,,,,,1,,,,,1,,,11,,,,,,,,,,,,,,,,,6,,,,,,,,,3,,,,,2,,,,,24
swan,cl1,ll,2,4,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,24,,,,,34
swan,cl1,ll,3,1,,,,,,,,,,,,,2,,,,,4,,,1,,,,,,,,,,,,,,,,,17,,,,,,,,,5,,,,,,,,,,29
swan,cl1,ll,3,2,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,2,,,,,,,,,4,,,,,1,,,,,15
swan,cl1,ll,3,3,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,1,,,,,,,,18,,,,,,,,,4,,,,,5,,,,,32
swan,cl1,ll,3,4,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,18,,,,,,,,,6,,,,,3,,,,,28
swan,cl1,re,1,1,,,,,,,,,,,,,1,,,,,13,,,1,,1,,,,,,,,3,,,,,,,1,,6,,,,,,,1,,,,,13,1,,,3,44
swan,cl1,re,1,2,,,,,,,,,,,,,1,,,4,,18,,,8,,,,,,,,,,,,,,,,1,1,,2,,,,,,,2,,,,,13,,,,,50
swan,cl1,re,1,3,,,,,,,,,,,,,1,,,2,,16,,,6,,,,,,,,,,,,,,,,1,4,,6,,,,,,,,,,,,24,,,,,60
swan,cl1,re,1,4,,,,,,,,,,,,,4,,,3,,1,,,7,,,,,,,,1,,,,,,,,1,6,,14,,,,,,,,,,,,17,,,,,54
swan,cl1,re,2,1,,,,,,,,,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,,,3,,1,,,,,,,2,,,,,9,,,,,21
swan,cl1,re,2,2,,,,,,,,,,,,,,,,,,8,,,2,,,,,,,,1,,,,,,,,1,2,,3,,,,,,,,3,,,,15,,,,,35
swan,cl1,re,2,3,,,,,,,,,,,,,,,1,,,13,,,,,,,,,,4,,,,,,,,,,,,8,,,,,,,,,,,,12,,,,,38
swan,cl1,re,2,4,,,,,,,,,,,,,1,,,1,,9,,,,,,,,,,1,1,,,,,,,,,,,3,,,,,,,,2,,,,14,,,,,32
swan,cl1,re,3,1,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,15,,,,,,,,,1,,,,,14,,,,,39
swan,cl1,re,3,2,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,22,,,,,39
swan,cl1,re,3,3,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,22,,,,,,,,,9,,,,,3,,,,,37
swan,cl1,re,3,4,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,9,,,,,,,,,2,,,,,3,,,,,27
swan,cl1,sd,1,1,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,1,,,,,,,,,21,,,,,,,,,,,,,,17,,,,,44
swan,cl1,sd,1,2,,,,,,,,,,,,,1,,,,,2,,,3,,,,,,,,,,,,,,,,,9,,1,,,,,,,,,,,,9,,,,,25
swan,cl1,sd,1,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,17,,,,,19
swan,cl1,sd,1,4,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,9,,,,,,,,,1,,,,,13,,,,,29
swan,cl1,sd,2,1,,,,,,,,,2,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,9,,,,,,,,,5,,,,,2,,,,,22
swan,cl1,sd,2,2,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,16
swan,cl1,sd,2,3,,,,,,,,,3,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,5,,,,,,,,,9,,,,,16,,,,,36
swan,cl1,sd,2,4,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,1,,,,2,,,,,,,,,3,,,,,14,8,,,,32
swan,cl1,sd,3,1,,,,,,,,,2,,,,,,,,,1,,,2,,,,,,,,,,,,,2,,,,4,,,,,,,,,,,,,,16,,,,,27
swan,cl1,sd,3,2,,,,,,,,,,,,,,,,,,6,,,1,,,,,,,,,,,,,,,,,4,,1,,,,,,,1,,,,,13,,,,,26
swan,cl1,sd,3,3,,,,,,,,,,,,,1,,,,,,,,7,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,13,,,,,34
