,,,,,Hits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seedlings,,,
elk,NM,SD,3,,,,,21,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,19,,,,,
elk,CONTROL,,1,,,,,8,,,,,,,10,,,,,,3,,,,,,,,,,,,,,,18,,,,4,,,,1,,,,,,,,2,,,,,,,,,,,,2,,,,,,,2,,,,32,,,,,,,38,,,,,
elk,CONTROL,,2,,,,,2,1,8,,,,,17,,,,,,1,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,2,,,,,,,,,,,,,,6,,,,,,,,,,,51,,,,,,,10,,,,,
elk,CONTROL,,3,,,,,,2,12,,,,,20,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,5,,,,,,,,,,,48,,,,,,,13,,,,,
elk,GRAZED,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,50,,,,,,,,,,,,,,,,,,3,,,,,,,,17,,,,,,,,,,,,,11,,,,,,,17,,,,,
elk,GRAZED,,2,,,,,,2,2,,,,,6,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,1,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,21,,,2,,,,3,,,,,
elk,GRAZED,,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,7,,,,,
elk,GRAZED,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,75,,,,1,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,14,,,4,,,,3,,,,,
elk,GRAZED,,5,,,,,,,4,,,,,3,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,6,,,,,,,,1,,,,,,,2,,,,,,8,,,,,,1,14,,,,,
elk,GRAZED,,6,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,
