"","year","plot","CTI","CPI","Site"
"91",2008,15,15.3011596302932,660.591953025457,"McL Serp"
"92",2008,16,16.006324303684,586.558824749606,"McL Serp"
"93",2008,18,16.2603524600996,551.390053230971,"McL Serp"
"94",2008,19,15.3105104572461,674.293749634782,"McL Serp"
"95",2008,20,15.3408414408507,706.550693383478,"McL Serp"
"96",2008,21,16.2046628093751,547.586748888806,"McL Serp"
"97",2008,22,15.2351445732289,696.306409375789,"McL Serp"
"98",2008,23,15.5997666189195,625.919649451256,"McL Serp"
"99",2008,24,15.4496546566678,660.925070824152,"McL Serp"
"100",2008,26,16.3018812863434,558.099215496093,"McL Serp"
"101",2008,27,16.199916814077,559.443456403747,"McL Serp"
"102",2008,28,16.1730462389011,562.61707520363,"McL Serp"
"103",2008,29,15.4033646896238,655.153802067274,"McL Serp"
